# BEGIN PLOT
Legend=1
LogY=0
ReplaceOption[cent=GEN]=(Gen)
ReplaceOption[cent=IMP]=(Imp)
YLabel=$(1/N_{evt}) \; dN_{ch}/d\eta$
YMax=85
Title=Charged particle density. Centrality 5-10\%
DrawOnly=/MC_Cent_pPb_Eta/d02-x01-y06 //home/maxinfilip/Rivet.yoda/MC_Cent_pPb_Eta/d02-x01-y06
LegendOnly=/MC_Cent_pPb_Eta/d02-x01-y06 //home/maxinfilip/Rivet.yoda/MC_Cent_pPb_Eta/d02-x01-y06
RatioPlot=1
RatioPlotReference=/MC_Cent_pPb_Eta/d02-x01-y06
# END PLOT

# BEGIN HISTO1D /MC_Cent_pPb_Eta/d02-x01-y06
ConnectBins=0
ErrorBars=1
Path=/MC_Cent_pPb_Eta/d02-x01-y06
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.700000e+00	-2.600000e+00	4.161300e+01	1.476570e+00	1.476570e+00
-2.600000e+00	-2.500000e+00	4.138800e+01	1.485224e+00	1.485224e+00
-2.500000e+00	-2.400000e+00	4.210400e+01	1.383285e+00	1.383285e+00
-2.400000e+00	-2.300000e+00	4.208900e+01	1.348508e+00	1.348508e+00
-2.300000e+00	-2.200000e+00	4.220600e+01	1.341972e+00	1.341972e+00
-2.200000e+00	-2.100000e+00	4.251600e+01	1.376962e+00	1.376962e+00
-2.100000e+00	-2.000000e+00	4.250900e+01	1.336376e+00	1.336376e+00
-2.000000e+00	-1.900000e+00	4.270200e+01	1.311562e+00	1.311562e+00
-1.900000e+00	-1.800000e+00	4.248300e+01	1.290645e+00	1.290645e+00
-1.800000e+00	-1.700000e+00	4.237400e+01	1.274570e+00	1.274570e+00
-1.700000e+00	-1.600000e+00	4.236700e+01	1.280889e+00	1.280889e+00
-1.600000e+00	-1.500000e+00	4.201200e+01	1.252085e+00	1.252085e+00
-1.500000e+00	-1.400000e+00	4.170400e+01	1.198548e+00	1.198548e+00
-1.400000e+00	-1.300000e+00	4.135500e+01	1.194138e+00	1.194138e+00
-1.300000e+00	-1.200000e+00	4.122200e+01	1.189651e+00	1.189651e+00
-1.200000e+00	-1.100000e+00	4.064300e+01	1.179211e+00	1.179211e+00
-1.100000e+00	-1.000000e+00	4.018300e+01	1.149318e+00	1.149318e+00
-1.000000e+00	-9.000000e-01	3.982600e+01	1.120130e+00	1.120130e+00
-9.000000e-01	-8.000000e-01	3.937700e+01	1.116662e+00	1.116662e+00
-8.000000e-01	-7.000000e-01	3.885700e+01	1.100514e+00	1.100514e+00
-7.000000e-01	-6.000000e-01	3.823100e+01	1.056835e+00	1.056835e+00
-6.000000e-01	-5.000000e-01	3.766500e+01	1.052408e+00	1.052408e+00
