# BEGIN PLOT
Legend=1
LogY=1
Title=$\log_{10}$($k_\perp$ jet resolution $2 \to 3$ [GeV])
XLabel=$\log_{10}(d_{23}/\text{GeV})$
YLabel=$\text{d}\sigma/\text{d}\log_{10}(d_{23}/\text{GeV})$ [pb]
LegendXPos=0.15
LegendYPos=0.5
Rebin=2
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_KTSPLITTINGS/log10_d_23
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_KTSPLITTINGS/log10_d_23
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_KTSPLITTINGS/log10_d_23
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_KTSPLITTINGS/log10_d_23
ScaledBy=1.55613332238651157e+37
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.319967e-01	1.875541e+08	4.137606e+07	4.137606e+07
2.319967e-01	2.639935e-01	2.215978e+08	4.160214e+07	4.160214e+07
2.639935e-01	2.959902e-01	1.816989e+08	3.433207e+07	3.433207e+07
2.959902e-01	3.279869e-01	2.526510e+08	4.316604e+07	4.316604e+07
3.279869e-01	3.599837e-01	3.088976e+08	5.011793e+07	5.011793e+07
3.599837e-01	3.919804e-01	2.398298e+08	4.309490e+07	4.309490e+07
3.919804e-01	4.239772e-01	2.332627e+08	3.563784e+07	3.563784e+07
4.239772e-01	4.559739e-01	2.745147e+08	4.422235e+07	4.422235e+07
4.559739e-01	4.879706e-01	3.038545e+08	4.695938e+07	4.695938e+07
4.879706e-01	5.199674e-01	2.843786e+08	4.391989e+07	4.391989e+07
5.199674e-01	5.519641e-01	2.631946e+08	4.151839e+07	4.151839e+07
5.519641e-01	5.839608e-01	2.099680e+08	3.499803e+07	3.499803e+07
5.839608e-01	6.159576e-01	2.635159e+08	3.928310e+07	3.928310e+07
6.159576e-01	6.479543e-01	3.053922e+08	4.603531e+07	4.603531e+07
6.479543e-01	6.799511e-01	1.586076e+08	3.045730e+07	3.045730e+07
6.799511e-01	7.119478e-01	2.000091e+08	3.578089e+07	3.578089e+07
7.119478e-01	7.439445e-01	1.499401e+08	3.106476e+07	3.106476e+07
7.439445e-01	7.759413e-01	1.530967e+08	3.001047e+07	3.001047e+07
7.759413e-01	8.079380e-01	1.637811e+08	3.124247e+07	3.124247e+07
8.079380e-01	8.399347e-01	1.128993e+08	2.791944e+07	2.791944e+07
8.399347e-01	8.719315e-01	1.200602e+08	2.404929e+07	2.404929e+07
8.719315e-01	9.039282e-01	1.090171e+08	2.302925e+07	2.302925e+07
9.039282e-01	9.359250e-01	5.654919e+07	1.580804e+07	1.580804e+07
9.359250e-01	9.679217e-01	9.656452e+07	2.508644e+07	2.508644e+07
9.679217e-01	9.999184e-01	6.494889e+07	1.597588e+07	1.597588e+07
9.999184e-01	1.031915e+00	4.087997e+07	1.309247e+07	1.309247e+07
1.031915e+00	1.063912e+00	3.779123e+07	1.133346e+07	1.133346e+07
1.063912e+00	1.095909e+00	3.684283e+07	1.457803e+07	1.457803e+07
1.095909e+00	1.127905e+00	2.530949e+07	8.180639e+06	8.180639e+06
1.127905e+00	1.159902e+00	1.569868e+07	4.816347e+06	4.816347e+06
1.159902e+00	1.191899e+00	6.314592e+06	1.475596e+06	1.475596e+06
1.191899e+00	1.223896e+00	4.976282e+06	1.397518e+06	1.397518e+06
1.223896e+00	1.255892e+00	1.655958e+07	9.890950e+06	9.890950e+06
1.255892e+00	1.287889e+00	5.143329e+06	1.964887e+06	1.964887e+06
1.287889e+00	1.319886e+00	4.682670e+06	2.600202e+06	2.600202e+06
1.319886e+00	1.351883e+00	3.633906e+06	1.414385e+06	1.414385e+06
1.351883e+00	1.383879e+00	1.042082e+06	4.583395e+05	4.583395e+05
1.383879e+00	1.415876e+00	1.463500e+06	5.791914e+05	5.791914e+05
1.415876e+00	1.447873e+00	2.235254e+06	1.304778e+06	1.304778e+06
1.447873e+00	1.479869e+00	1.651930e+06	9.241051e+05	9.241051e+05
1.479869e+00	1.511866e+00	3.589730e+05	2.433363e+05	2.433363e+05
1.511866e+00	1.543863e+00	5.418458e+05	3.401455e+05	3.401455e+05
1.543863e+00	1.575860e+00	2.886755e+05	2.098100e+05	2.098100e+05
1.575860e+00	1.607856e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.607856e+00	1.639853e+00	3.230315e+05	2.073048e+05	2.073048e+05
1.639853e+00	1.671850e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.671850e+00	1.703847e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.703847e+00	1.735843e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.735843e+00	1.767840e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.767840e+00	1.799837e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.799837e+00	1.831834e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.831834e+00	1.863830e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.863830e+00	1.895827e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.895827e+00	1.927824e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.927824e+00	1.959821e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.959821e+00	1.991817e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.991817e+00	2.023814e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.023814e+00	2.055811e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.055811e+00	2.087807e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.087807e+00	2.119804e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.119804e+00	2.151801e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.151801e+00	2.183798e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.183798e+00	2.215794e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.215794e+00	2.247791e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.247791e+00	2.279788e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.279788e+00	2.311785e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.311785e+00	2.343781e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.343781e+00	2.375778e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.375778e+00	2.407775e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.407775e+00	2.439772e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.439772e+00	2.471768e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.471768e+00	2.503765e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.503765e+00	2.535762e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.535762e+00	2.567759e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.567759e+00	2.599755e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.599755e+00	2.631752e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.631752e+00	2.663749e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.663749e+00	2.695746e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.695746e+00	2.727742e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.727742e+00	2.759739e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.759739e+00	2.791736e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.791736e+00	2.823732e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.823732e+00	2.855729e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.855729e+00	2.887726e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.887726e+00	2.919723e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.919723e+00	2.951719e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.951719e+00	2.983716e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.983716e+00	3.015713e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.015713e+00	3.047710e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.047710e+00	3.079706e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.079706e+00	3.111703e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.111703e+00	3.143700e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.143700e+00	3.175697e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.175697e+00	3.207693e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.207693e+00	3.239690e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.239690e+00	3.271687e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.271687e+00	3.303684e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.303684e+00	3.335680e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.335680e+00	3.367677e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.367677e+00	3.399674e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

