# BEGIN PLOT
Legend=1
LogY=0
Title=TransMAX region charged particle density
XLabel=Leading jet $p_\perp$ / GeV
YLabel=$\mathrm{d}{N_\text{ch}}/\mathrm{d}{\phi}$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-maxnchg
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-maxnchg
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-maxnchg
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-maxnchg
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.099362e-01	3.880776e-02	3.880776e-02
1.000000e+01	2.000000e+01	5.563590e-01	4.970270e-02	4.970270e-02
2.000000e+01	3.000000e+01	5.243688e-01	6.580686e-02	6.580686e-02
3.000000e+01	4.000000e+01	6.468626e-01	1.554808e-01	1.554808e-01
4.000000e+01	5.000000e+01	6.416420e-01	2.151472e-01	2.151472e-01
5.000000e+01	6.000000e+01	6.568814e-01	4.831380e-01	4.831380e-01
6.000000e+01	7.000000e+01	5.789541e-01	1.250965e-01	1.250965e-01
7.000000e+01	8.000000e+01	3.483173e-01	8.568925e-01	8.568925e-01
8.000000e+01	9.000000e+01	3.037199e+00	1.806057e+00	1.806057e+00
9.000000e+01	1.000000e+02	4.907388e-01	7.508461e-01	7.508461e-01
1.000000e+02	1.100000e+02	4.774648e-01	nan	nan
1.100000e+02	1.200000e+02	0.000000e+00	nan	nan
1.200000e+02	1.300000e+02	nan	nan	nan
1.300000e+02	1.400000e+02	nan	nan	nan
1.400000e+02	1.500000e+02	nan	nan	nan
1.500000e+02	1.600000e+02	nan	nan	nan
1.600000e+02	1.700000e+02	nan	nan	nan
1.700000e+02	1.800000e+02	nan	nan	nan
1.800000e+02	1.900000e+02	nan	nan	nan
1.900000e+02	2.000000e+02	nan	nan	nan
2.000000e+02	2.100000e+02	nan	nan	nan
2.100000e+02	2.200000e+02	nan	nan	nan
2.200000e+02	2.300000e+02	nan	nan	nan
2.300000e+02	2.400000e+02	nan	nan	nan
2.400000e+02	2.500000e+02	nan	nan	nan
2.500000e+02	2.600000e+02	nan	nan	nan
2.600000e+02	2.700000e+02	nan	nan	nan
2.700000e+02	2.800000e+02	nan	nan	nan
2.800000e+02	2.900000e+02	nan	nan	nan
2.900000e+02	3.000000e+02	nan	nan	nan
3.000000e+02	3.100000e+02	nan	nan	nan
3.100000e+02	3.200000e+02	nan	nan	nan
3.200000e+02	3.300000e+02	nan	nan	nan
3.300000e+02	3.400000e+02	nan	nan	nan
3.400000e+02	3.500000e+02	nan	nan	nan
3.500000e+02	3.600000e+02	nan	nan	nan
3.600000e+02	3.700000e+02	nan	nan	nan
3.700000e+02	3.800000e+02	nan	nan	nan
3.800000e+02	3.900000e+02	nan	nan	nan
3.900000e+02	4.000000e+02	nan	nan	nan
4.000000e+02	4.100000e+02	nan	nan	nan
4.100000e+02	4.200000e+02	nan	nan	nan
4.200000e+02	4.300000e+02	nan	nan	nan
4.300000e+02	4.400000e+02	nan	nan	nan
4.400000e+02	4.500000e+02	nan	nan	nan
4.500000e+02	4.600000e+02	nan	nan	nan
4.600000e+02	4.700000e+02	nan	nan	nan
4.700000e+02	4.800000e+02	nan	nan	nan
4.800000e+02	4.900000e+02	nan	nan	nan
4.900000e+02	5.000000e+02	nan	nan	nan
# END HISTO1D

