# BEGIN PLOT
Legend=1
LogY=0
Title=TransMIN region charged particle density
XLabel=Leading jet $p_\perp$ / GeV
YLabel=$\mathrm{d}{N_\text{ch}}/\mathrm{d}{\phi}$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-minnchg
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-minnchg
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-minnchg
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-minnchg
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.192228e-02	8.101464e-03	8.101464e-03
1.000000e+01	2.000000e+01	2.813265e-02	9.214406e-03	9.214406e-03
2.000000e+01	3.000000e+01	6.385081e-02	2.360421e-02	2.360421e-02
3.000000e+01	4.000000e+01	1.158983e-02	1.429966e-02	1.429966e-02
4.000000e+01	5.000000e+01	1.421566e-02	2.312016e-02	2.312016e-02
5.000000e+01	6.000000e+01	1.001150e-02	2.894510e-02	2.894510e-02
6.000000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.100000e+02	0.000000e+00	nan	nan
1.100000e+02	1.200000e+02	0.000000e+00	nan	nan
1.200000e+02	1.300000e+02	nan	nan	nan
1.300000e+02	1.400000e+02	nan	nan	nan
1.400000e+02	1.500000e+02	nan	nan	nan
1.500000e+02	1.600000e+02	nan	nan	nan
1.600000e+02	1.700000e+02	nan	nan	nan
1.700000e+02	1.800000e+02	nan	nan	nan
1.800000e+02	1.900000e+02	nan	nan	nan
1.900000e+02	2.000000e+02	nan	nan	nan
2.000000e+02	2.100000e+02	nan	nan	nan
2.100000e+02	2.200000e+02	nan	nan	nan
2.200000e+02	2.300000e+02	nan	nan	nan
2.300000e+02	2.400000e+02	nan	nan	nan
2.400000e+02	2.500000e+02	nan	nan	nan
2.500000e+02	2.600000e+02	nan	nan	nan
2.600000e+02	2.700000e+02	nan	nan	nan
2.700000e+02	2.800000e+02	nan	nan	nan
2.800000e+02	2.900000e+02	nan	nan	nan
2.900000e+02	3.000000e+02	nan	nan	nan
3.000000e+02	3.100000e+02	nan	nan	nan
3.100000e+02	3.200000e+02	nan	nan	nan
3.200000e+02	3.300000e+02	nan	nan	nan
3.300000e+02	3.400000e+02	nan	nan	nan
3.400000e+02	3.500000e+02	nan	nan	nan
3.500000e+02	3.600000e+02	nan	nan	nan
3.600000e+02	3.700000e+02	nan	nan	nan
3.700000e+02	3.800000e+02	nan	nan	nan
3.800000e+02	3.900000e+02	nan	nan	nan
3.900000e+02	4.000000e+02	nan	nan	nan
4.000000e+02	4.100000e+02	nan	nan	nan
4.100000e+02	4.200000e+02	nan	nan	nan
4.200000e+02	4.300000e+02	nan	nan	nan
4.300000e+02	4.400000e+02	nan	nan	nan
4.400000e+02	4.500000e+02	nan	nan	nan
4.500000e+02	4.600000e+02	nan	nan	nan
4.600000e+02	4.700000e+02	nan	nan	nan
4.700000e+02	4.800000e+02	nan	nan	nan
4.800000e+02	4.900000e+02	nan	nan	nan
4.900000e+02	5.000000e+02	nan	nan	nan
# END HISTO1D

