# BEGIN PLOT
Legend=1
LogY=0
Title=Transverse region charged pT average
XLabel=Leading jet $p_\perp$ / GeV
YLabel=$\langle p_\perp \rangle$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-ptavg
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-ptavg
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-ptavg
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-ptavg
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.295930e-01	3.346569e-02	3.346569e-02
1.000000e+01	2.000000e+01	9.172918e-01	3.670961e-02	3.670961e-02
2.000000e+01	3.000000e+01	9.555222e-01	6.229250e-02	6.229250e-02
3.000000e+01	4.000000e+01	1.032026e+00	9.992710e-02	9.992710e-02
4.000000e+01	5.000000e+01	1.960344e+00	4.125800e-01	4.125800e-01
5.000000e+01	6.000000e+01	1.295148e+00	2.364852e-01	2.364852e-01
6.000000e+01	7.000000e+01	8.729944e-01	1.451325e-01	1.451325e-01
7.000000e+01	8.000000e+01	1.147292e+00	1.654085e-01	1.654085e-01
8.000000e+01	9.000000e+01	1.214865e+00	3.057004e-01	3.057004e-01
9.000000e+01	1.000000e+02	9.748467e-01	nan	nan
1.000000e+02	1.100000e+02	1.462619e+00	nan	nan
1.100000e+02	1.200000e+02	nan	nan	nan
1.200000e+02	1.300000e+02	nan	nan	nan
1.300000e+02	1.400000e+02	nan	nan	nan
1.400000e+02	1.500000e+02	nan	nan	nan
1.500000e+02	1.600000e+02	nan	nan	nan
1.600000e+02	1.700000e+02	nan	nan	nan
1.700000e+02	1.800000e+02	nan	nan	nan
1.800000e+02	1.900000e+02	nan	nan	nan
1.900000e+02	2.000000e+02	nan	nan	nan
2.000000e+02	2.100000e+02	nan	nan	nan
2.100000e+02	2.200000e+02	nan	nan	nan
2.200000e+02	2.300000e+02	nan	nan	nan
2.300000e+02	2.400000e+02	nan	nan	nan
2.400000e+02	2.500000e+02	nan	nan	nan
2.500000e+02	2.600000e+02	nan	nan	nan
2.600000e+02	2.700000e+02	nan	nan	nan
2.700000e+02	2.800000e+02	nan	nan	nan
2.800000e+02	2.900000e+02	nan	nan	nan
2.900000e+02	3.000000e+02	nan	nan	nan
3.000000e+02	3.100000e+02	nan	nan	nan
3.100000e+02	3.200000e+02	nan	nan	nan
3.200000e+02	3.300000e+02	nan	nan	nan
3.300000e+02	3.400000e+02	nan	nan	nan
3.400000e+02	3.500000e+02	nan	nan	nan
3.500000e+02	3.600000e+02	nan	nan	nan
3.600000e+02	3.700000e+02	nan	nan	nan
3.700000e+02	3.800000e+02	nan	nan	nan
3.800000e+02	3.900000e+02	nan	nan	nan
3.900000e+02	4.000000e+02	nan	nan	nan
4.000000e+02	4.100000e+02	nan	nan	nan
4.100000e+02	4.200000e+02	nan	nan	nan
4.200000e+02	4.300000e+02	nan	nan	nan
4.300000e+02	4.400000e+02	nan	nan	nan
4.400000e+02	4.500000e+02	nan	nan	nan
4.500000e+02	4.600000e+02	nan	nan	nan
4.600000e+02	4.700000e+02	nan	nan	nan
4.700000e+02	4.800000e+02	nan	nan	nan
4.800000e+02	4.900000e+02	nan	nan	nan
4.900000e+02	5.000000e+02	nan	nan	nan
# END HISTO1D

