# BEGIN PLOT
Legend=1
LogY=0
Title=Transverse region charged pT sum density
XLabel=Leading jet $p_\perp$ / GeV
YLabel=$\mathrm{d}{\sum p_\perp^\text{sum}}/\mathrm{d}{\phi}$
DrawOnly=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-ptsum
LegendOnly=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-ptsum
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-ptsum
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/Rivet.yoda/MC_LEADJETUE/trans-ptsum
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.883064e-01	2.228637e-02	2.228637e-02
1.000000e+01	2.000000e+01	2.844476e-01	3.090124e-02	3.090124e-02
2.000000e+01	3.000000e+01	3.062871e-01	4.957178e-02	4.957178e-02
3.000000e+01	4.000000e+01	3.972298e-01	1.306536e-01	1.306536e-01
4.000000e+01	5.000000e+01	6.701130e-01	2.738347e-01	2.738347e-01
5.000000e+01	6.000000e+01	4.496244e-01	3.785820e-01	3.785820e-01
6.000000e+01	7.000000e+01	2.895512e-01	1.187215e-01	1.187215e-01
7.000000e+01	8.000000e+01	2.275736e-01	6.595171e-01	6.595171e-01
8.000000e+01	9.000000e+01	1.972309e+00	1.268994e+00	1.268994e+00
9.000000e+01	1.000000e+02	2.391976e-01	3.659799e-01	3.659799e-01
1.000000e+02	1.100000e+02	3.491745e-01	nan	nan
1.100000e+02	1.200000e+02	0.000000e+00	nan	nan
1.200000e+02	1.300000e+02	nan	nan	nan
1.300000e+02	1.400000e+02	nan	nan	nan
1.400000e+02	1.500000e+02	nan	nan	nan
1.500000e+02	1.600000e+02	nan	nan	nan
1.600000e+02	1.700000e+02	nan	nan	nan
1.700000e+02	1.800000e+02	nan	nan	nan
1.800000e+02	1.900000e+02	nan	nan	nan
1.900000e+02	2.000000e+02	nan	nan	nan
2.000000e+02	2.100000e+02	nan	nan	nan
2.100000e+02	2.200000e+02	nan	nan	nan
2.200000e+02	2.300000e+02	nan	nan	nan
2.300000e+02	2.400000e+02	nan	nan	nan
2.400000e+02	2.500000e+02	nan	nan	nan
2.500000e+02	2.600000e+02	nan	nan	nan
2.600000e+02	2.700000e+02	nan	nan	nan
2.700000e+02	2.800000e+02	nan	nan	nan
2.800000e+02	2.900000e+02	nan	nan	nan
2.900000e+02	3.000000e+02	nan	nan	nan
3.000000e+02	3.100000e+02	nan	nan	nan
3.100000e+02	3.200000e+02	nan	nan	nan
3.200000e+02	3.300000e+02	nan	nan	nan
3.300000e+02	3.400000e+02	nan	nan	nan
3.400000e+02	3.500000e+02	nan	nan	nan
3.500000e+02	3.600000e+02	nan	nan	nan
3.600000e+02	3.700000e+02	nan	nan	nan
3.700000e+02	3.800000e+02	nan	nan	nan
3.800000e+02	3.900000e+02	nan	nan	nan
3.900000e+02	4.000000e+02	nan	nan	nan
4.000000e+02	4.100000e+02	nan	nan	nan
4.100000e+02	4.200000e+02	nan	nan	nan
4.200000e+02	4.300000e+02	nan	nan	nan
4.300000e+02	4.400000e+02	nan	nan	nan
4.400000e+02	4.500000e+02	nan	nan	nan
4.500000e+02	4.600000e+02	nan	nan	nan
4.600000e+02	4.700000e+02	nan	nan	nan
4.700000e+02	4.800000e+02	nan	nan	nan
4.800000e+02	4.900000e+02	nan	nan	nan
4.900000e+02	5.000000e+02	nan	nan	nan
# END HISTO1D

