# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_HT
XLabel=$H_\text{T}$ [GeV]
YLabel=$\text{d}\sigma/\text{d}H_\text{T}$ [pb/GeV]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_HT
Title=Scalar sum of jet transverse momenta ($H_\text{T}$)
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_HT
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.202941e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.202941e+01	2.426475e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.426475e+01	2.672690e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.672690e+01	2.943889e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.943889e+01	3.242607e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.242607e+01	3.571636e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.571636e+01	3.934052e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.934052e+01	4.333242e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.333242e+01	4.772939e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.772939e+01	5.257251e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.257251e+01	5.790707e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.790707e+01	6.378293e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.378293e+01	7.025502e+01	4.149272e+00	2.405744e+00	2.405744e+00
7.025502e+01	7.738383e+01	3.902745e+00	2.270095e+00	2.270095e+00
7.738383e+01	8.523601e+01	2.980253e+00	1.804917e+00	1.804917e+00
8.523601e+01	9.388495e+01	1.174776e+00	1.174776e+00	1.174776e+00
9.388495e+01	1.034115e+02	6.334286e+00	2.454773e+00	2.454773e+00
1.034115e+02	1.139047e+02	1.166260e+01	3.101541e+00	3.101541e+00
1.139047e+02	1.254627e+02	5.021062e+00	2.004110e+00	2.004110e+00
1.254627e+02	1.381935e+02	1.401005e+01	3.098063e+00	3.098063e+00
1.381935e+02	1.522160e+02	2.145967e+01	3.600250e+00	3.600250e+00
1.522160e+02	1.676615e+02	2.651748e+01	3.780221e+00	3.780221e+00
1.676615e+02	1.846742e+02	4.987553e+01	4.950798e+00	4.950798e+00
1.846742e+02	2.034131e+02	6.001809e+01	5.149939e+00	5.149939e+00
2.034131e+02	2.240536e+02	6.304566e+01	4.833052e+00	4.833052e+00
2.240536e+02	2.467884e+02	7.676843e+01	5.140236e+00	5.140236e+00
2.467884e+02	2.718301e+02	7.371472e+01	4.481212e+00	4.481212e+00
2.718301e+02	2.994129e+02	6.290797e+01	3.748538e+00	3.748538e+00
2.994129e+02	3.297945e+02	4.668233e+01	2.763289e+00	2.763289e+00
3.297945e+02	3.632589e+02	3.954199e+01	2.393519e+00	2.393519e+00
3.632589e+02	4.001189e+02	2.144715e+01	1.428871e+00	1.428871e+00
4.001189e+02	4.407192e+02	1.515373e+01	1.063088e+00	1.063088e+00
4.407192e+02	4.854392e+02	9.450078e+00	6.980929e-01	6.980929e-01
4.854392e+02	5.346970e+02	5.970350e+00	5.462936e-01	5.462936e-01
5.346970e+02	5.889530e+02	3.484035e+00	3.551731e-01	3.551731e-01
5.889530e+02	6.487143e+02	1.853788e+00	2.333750e-01	2.333750e-01
6.487143e+02	7.145397e+02	7.087661e-01	7.656242e-02	7.656242e-02
7.145397e+02	7.870444e+02	5.254713e-01	1.152633e-01	1.152633e-01
7.870444e+02	8.669062e+02	1.287974e-01	5.763004e-02	5.763004e-02
8.669062e+02	9.548716e+02	4.225077e-02	2.322773e-02	2.322773e-02
9.548716e+02	1.051763e+03	3.472688e-02	1.637729e-02	1.637729e-02
1.051763e+03	1.158486e+03	5.356165e-03	3.182229e-03	3.182229e-03
1.158486e+03	1.276038e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.276038e+03	1.405518e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.405518e+03	1.548137e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.548137e+03	1.705227e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.705227e+03	1.878257e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.878257e+03	2.068845e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.068845e+03	2.278772e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.278772e+03	2.510000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

