# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\text{jet 1})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 1})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_1
Title=Pseudorapidity of leading jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_1
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	5.334485e+01	5.334487e+01	5.334487e+01
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	7.199770e+01	5.437950e+01	5.437950e+01
-3.000000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.600000e+00	3.259276e+02	1.118801e+02	1.118801e+02
-2.600000e+00	-2.400000e+00	5.907735e+02	1.490362e+02	1.490362e+02
-2.400000e+00	-2.200000e+00	9.448480e+02	1.834561e+02	1.834561e+02
-2.200000e+00	-2.000000e+00	1.271194e+03	2.017321e+02	2.017321e+02
-2.000000e+00	-1.800000e+00	1.774345e+03	2.312665e+02	2.312665e+02
-1.800000e+00	-1.600000e+00	2.864896e+03	3.000522e+02	3.000522e+02
-1.600000e+00	-1.400000e+00	2.956987e+03	2.987127e+02	2.987127e+02
-1.400000e+00	-1.200000e+00	3.555560e+03	3.427074e+02	3.427074e+02
-1.200000e+00	-1.000000e+00	3.463194e+03	3.215000e+02	3.215000e+02
-1.000000e+00	-8.000000e-01	4.120701e+03	3.617646e+02	3.617646e+02
-8.000000e-01	-6.000000e-01	4.036411e+03	3.495009e+02	3.495009e+02
-6.000000e-01	-4.000000e-01	4.720390e+03	3.780217e+02	3.780217e+02
-4.000000e-01	-2.000000e-01	4.217721e+03	3.605101e+02	3.605101e+02
-2.000000e-01	0.000000e+00	4.452293e+03	3.662737e+02	3.662737e+02
0.000000e+00	2.000000e-01	4.549641e+03	3.793846e+02	3.793846e+02
2.000000e-01	4.000000e-01	4.126555e+03	3.489713e+02	3.489713e+02
4.000000e-01	6.000000e-01	4.866995e+03	3.990214e+02	3.990214e+02
6.000000e-01	8.000000e-01	3.871679e+03	3.422563e+02	3.422563e+02
8.000000e-01	1.000000e+00	3.617639e+03	3.468889e+02	3.468889e+02
1.000000e+00	1.200000e+00	3.047726e+03	2.932514e+02	2.932514e+02
1.200000e+00	1.400000e+00	2.836297e+03	2.969973e+02	2.969973e+02
1.400000e+00	1.600000e+00	2.220184e+03	2.525924e+02	2.525924e+02
1.600000e+00	1.800000e+00	2.399733e+03	2.704858e+02	2.704858e+02
1.800000e+00	2.000000e+00	1.419022e+03	2.135797e+02	2.135797e+02
2.000000e+00	2.200000e+00	1.579230e+03	2.352198e+02	2.352198e+02
2.200000e+00	2.400000e+00	8.188630e+02	1.718536e+02	1.718536e+02
2.400000e+00	2.600000e+00	4.410612e+02	1.191839e+02	1.191839e+02
2.600000e+00	2.800000e+00	1.600980e+02	8.323323e+01	8.323323e+01
2.800000e+00	3.000000e+00	5.112535e+01	5.112536e+01	5.112536e+01
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

