# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\text{jet 2})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 2})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_2
Title=Pseudorapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_2
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	3.410119e+01	3.410119e+01	3.410119e+01
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	4.208608e+01	4.208608e+01	4.208608e+01
-3.000000e+00	-2.800000e+00	1.440155e+02	7.242396e+01	7.242396e+01
-2.800000e+00	-2.600000e+00	3.800154e+02	1.271292e+02	1.271292e+02
-2.600000e+00	-2.400000e+00	5.059010e+02	1.367574e+02	1.367574e+02
-2.400000e+00	-2.200000e+00	1.039188e+03	2.058833e+02	2.058833e+02
-2.200000e+00	-2.000000e+00	8.624040e+02	1.608932e+02	1.608932e+02
-2.000000e+00	-1.800000e+00	1.648441e+03	2.406681e+02	2.406681e+02
-1.800000e+00	-1.600000e+00	2.346245e+03	2.849800e+02	2.849800e+02
-1.600000e+00	-1.400000e+00	2.397811e+03	2.697654e+02	2.697654e+02
-1.400000e+00	-1.200000e+00	2.678008e+03	2.846634e+02	2.846634e+02
-1.200000e+00	-1.000000e+00	3.678353e+03	3.439333e+02	3.439333e+02
-1.000000e+00	-8.000000e-01	3.383233e+03	3.151174e+02	3.151174e+02
-8.000000e-01	-6.000000e-01	3.921061e+03	3.434387e+02	3.434387e+02
-6.000000e-01	-4.000000e-01	4.603859e+03	3.669000e+02	3.669000e+02
-4.000000e-01	-2.000000e-01	4.439119e+03	3.650905e+02	3.650905e+02
-2.000000e-01	0.000000e+00	5.540970e+03	4.213624e+02	4.213624e+02
0.000000e+00	2.000000e-01	4.825492e+03	3.789698e+02	3.789698e+02
2.000000e-01	4.000000e-01	4.451133e+03	3.617149e+02	3.617149e+02
4.000000e-01	6.000000e-01	4.709369e+03	3.780747e+02	3.780747e+02
6.000000e-01	8.000000e-01	4.445753e+03	3.647700e+02	3.647700e+02
8.000000e-01	1.000000e+00	4.021896e+03	3.519480e+02	3.519480e+02
1.000000e+00	1.200000e+00	3.323508e+03	3.113264e+02	3.113264e+02
1.200000e+00	1.400000e+00	2.538098e+03	2.708151e+02	2.708151e+02
1.400000e+00	1.600000e+00	3.031929e+03	3.289268e+02	3.289268e+02
1.600000e+00	1.800000e+00	2.056833e+03	2.612979e+02	2.612979e+02
1.800000e+00	2.000000e+00	1.400426e+03	2.115882e+02	2.115882e+02
2.000000e+00	2.200000e+00	9.974550e+02	1.867371e+02	1.867371e+02
2.200000e+00	2.400000e+00	6.318965e+02	1.383535e+02	1.383535e+02
2.400000e+00	2.600000e+00	4.990171e+02	1.385702e+02	1.385702e+02
2.600000e+00	2.800000e+00	2.200382e+02	8.588158e+01	8.588158e+01
2.800000e+00	3.000000e+00	9.348775e+01	6.564315e+01	6.564315e+01
3.000000e+00	3.200000e+00	8.892360e+01	5.107996e+01	5.107996e+01
3.200000e+00	3.400000e+00	8.128540e+01	6.202415e+01	6.202415e+01
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

