# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\text{jet 3})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 3})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_3
Title=Pseudorapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_3
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_3
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.308167e+01	1.308167e+01	1.308167e+01
-4.600000e+00	-4.200000e+00	1.189715e+00	1.189715e+00	1.189715e+00
-4.200000e+00	-3.800000e+00	2.295706e+01	2.101612e+01	2.101612e+01
-3.800000e+00	-3.400000e+00	1.240624e+02	4.838702e+01	4.838702e+01
-3.400000e+00	-3.000000e+00	1.821592e+02	5.203567e+01	5.203567e+01
-3.000000e+00	-2.600000e+00	3.964873e+02	8.389547e+01	8.389547e+01
-2.600000e+00	-2.200000e+00	5.515870e+02	9.301693e+01	9.301693e+01
-2.200000e+00	-1.800000e+00	8.808695e+02	1.130176e+02	1.130176e+02
-1.800000e+00	-1.400000e+00	1.056783e+03	1.270433e+02	1.270433e+02
-1.400000e+00	-1.000000e+00	1.692016e+03	1.546323e+02	1.546323e+02
-1.000000e+00	-6.000000e-01	2.066356e+03	1.767264e+02	1.767264e+02
-6.000000e-01	-2.000000e-01	2.339429e+03	1.906683e+02	1.906683e+02
-2.000000e-01	2.000000e-01	1.983788e+03	1.638987e+02	1.638987e+02
2.000000e-01	6.000000e-01	2.343576e+03	1.813656e+02	1.813656e+02
6.000000e-01	1.000000e+00	1.891787e+03	1.703658e+02	1.703658e+02
1.000000e+00	1.400000e+00	1.736659e+03	1.641302e+02	1.641302e+02
1.400000e+00	1.800000e+00	1.169562e+03	1.243807e+02	1.243807e+02
1.800000e+00	2.200000e+00	8.401187e+02	1.167712e+02	1.167712e+02
2.200000e+00	2.600000e+00	4.022843e+02	7.764660e+01	7.764660e+01
2.600000e+00	3.000000e+00	3.317223e+02	7.254603e+01	7.254603e+01
3.000000e+00	3.400000e+00	1.811089e+02	5.363035e+01	5.363035e+01
3.400000e+00	3.800000e+00	9.278695e+01	3.742219e+01	3.742219e+01
3.800000e+00	4.200000e+00	2.611767e+01	2.259130e+01	2.259130e+01
4.200000e+00	4.600000e+00	1.474724e+01	1.052602e+01	1.052602e+01
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

