# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\text{jet 4})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 4})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_4
Title=Pseudorapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_4
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_4
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	6.576060e+00	4.666493e+00	4.666493e+00
-4.200000e+00	-3.800000e+00	1.078828e+01	8.635465e+00	8.635465e+00
-3.800000e+00	-3.400000e+00	3.457300e+01	1.844423e+01	1.844423e+01
-3.400000e+00	-3.000000e+00	5.196645e+01	2.975775e+01	2.975775e+01
-3.000000e+00	-2.600000e+00	1.927862e+02	5.616778e+01	5.616778e+01
-2.600000e+00	-2.200000e+00	3.126490e+02	6.603651e+01	6.603651e+01
-2.200000e+00	-1.800000e+00	3.162900e+02	7.040841e+01	7.040841e+01
-1.800000e+00	-1.400000e+00	5.018907e+02	8.716242e+01	8.716242e+01
-1.400000e+00	-1.000000e+00	6.225010e+02	9.915739e+01	9.915739e+01
-1.000000e+00	-6.000000e-01	6.178048e+02	9.332209e+01	9.332209e+01
-6.000000e-01	-2.000000e-01	8.459218e+02	1.102674e+02	1.102674e+02
-2.000000e-01	2.000000e-01	5.799322e+02	7.998097e+01	7.998097e+01
2.000000e-01	6.000000e-01	7.405975e+02	1.039318e+02	1.039318e+02
6.000000e-01	1.000000e+00	6.440900e+02	8.860188e+01	8.860188e+01
1.000000e+00	1.400000e+00	4.798505e+02	8.037506e+01	8.037506e+01
1.400000e+00	1.800000e+00	5.625045e+02	9.515126e+01	9.515126e+01
1.800000e+00	2.200000e+00	3.315062e+02	7.317121e+01	7.317121e+01
2.200000e+00	2.600000e+00	1.774601e+02	5.354710e+01	5.354710e+01
2.600000e+00	3.000000e+00	6.447600e+01	2.291964e+01	2.291964e+01
3.000000e+00	3.400000e+00	6.865840e+01	3.035850e+01	3.035850e+01
3.400000e+00	3.800000e+00	1.208912e+01	7.581058e+00	7.581058e+00
3.800000e+00	4.200000e+00	1.593673e+01	1.495347e+01	1.495347e+01
4.200000e+00	4.600000e+00	5.814980e+00	5.814980e+00	5.814980e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

