# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
Title=Pseudorapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|\eta(\text{jet 1}|$
YLabel=$\eta(\text{jet 1})_+/\eta(\text{jet 1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.021865e+00	1.196990e-01	1.196990e-01
2.000000e-01	4.000000e-01	9.783851e-01	1.176408e-01	1.176408e-01
4.000000e-01	6.000000e-01	1.031058e+00	1.181667e-01	1.181667e-01
6.000000e-01	8.000000e-01	9.591885e-01	1.186911e-01	1.186911e-01
8.000000e-01	1.000000e+00	8.779183e-01	1.141361e-01	1.141361e-01
1.000000e+00	1.200000e+00	8.800334e-01	1.176624e-01	1.176624e-01
1.200000e+00	1.400000e+00	7.977074e-01	1.135302e-01	1.135302e-01
1.400000e+00	1.600000e+00	7.508265e-01	1.142360e-01	1.142360e-01
1.600000e+00	1.800000e+00	8.376335e-01	1.288810e-01	1.288810e-01
1.800000e+00	2.000000e+00	7.997440e-01	1.592317e-01	1.592317e-01
2.000000e+00	2.200000e+00	1.242320e+00	2.703838e-01	2.703838e-01
2.200000e+00	2.400000e+00	8.666610e-01	2.477874e-01	2.477874e-01
2.400000e+00	2.600000e+00	7.465826e-01	2.759943e-01	2.759943e-01
2.600000e+00	2.800000e+00	4.912074e-01	3.060174e-01	3.060174e-01
2.800000e+00	3.000000e+00	nan	nan	nan
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

