# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
Title=Pseudorapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|\eta(\text{jet 2}|$
YLabel=$\eta(\text{jet 2})_+/\eta(\text{jet 2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.708750e-01	9.520285e-02	9.520285e-02
2.000000e-01	4.000000e-01	1.002706e+00	1.159322e-01	1.159322e-01
4.000000e-01	6.000000e-01	1.022918e+00	1.157129e-01	1.157129e-01
6.000000e-01	8.000000e-01	1.133814e+00	1.360753e-01	1.360753e-01
8.000000e-01	1.000000e+00	1.188773e+00	1.519254e-01	1.519254e-01
1.000000e+00	1.200000e+00	9.035314e-01	1.195855e-01	1.195855e-01
1.200000e+00	1.400000e+00	9.477559e-01	1.427431e-01	1.427431e-01
1.400000e+00	1.600000e+00	1.264457e+00	1.976234e-01	1.976234e-01
1.600000e+00	1.800000e+00	8.766485e-01	1.540807e-01	1.540807e-01
1.800000e+00	2.000000e+00	8.495460e-01	1.784915e-01	1.784915e-01
2.000000e+00	2.200000e+00	1.156598e+00	3.056898e-01	3.056898e-01
2.200000e+00	2.400000e+00	6.080676e-01	1.795501e-01	1.795501e-01
2.400000e+00	2.600000e+00	9.863923e-01	3.822635e-01	3.822635e-01
2.600000e+00	2.800000e+00	5.790244e-01	2.976497e-01	2.976497e-01
2.800000e+00	3.000000e+00	6.491508e-01	5.606512e-01	5.606512e-01
3.000000e+00	3.200000e+00	2.112898e+00	2.436681e+00	2.436681e+00
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

