# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_1
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_1
Title=Mass of first jet
LogY=1
XLabel=$m(\text{jet 1})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 1})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_1
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.148154e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.148154e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.258925e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.380384e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.513561e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.513561e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.659587e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.659587e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.819701e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.819701e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	1.995262e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.995262e+00	2.089296e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+00	2.187762e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.187762e+00	2.290868e+00	9.907707e+01	9.907711e+01	9.907711e+01
2.290868e+00	2.398833e+00	4.581536e+01	4.581536e+01	4.581536e+01
2.398833e+00	2.511886e+00	4.126506e+01	4.126506e+01	4.126506e+01
2.511886e+00	2.630268e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.630268e+00	2.754229e+00	7.151061e+01	5.258951e+01	5.258951e+01
2.754229e+00	2.884032e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.884032e+00	3.019952e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e+00	3.162278e+00	5.417546e+01	5.417546e+01	5.417546e+01
3.162278e+00	3.311311e+00	3.244788e+01	3.244788e+01	3.244788e+01
3.311311e+00	3.467369e+00	4.761585e+01	4.110438e+01	4.110438e+01
3.467369e+00	3.630781e+00	2.027524e+02	9.875511e+01	9.875511e+01
3.630781e+00	3.801894e+00	3.771408e+01	2.706568e+01	2.706568e+01
3.801894e+00	3.981072e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+00	4.168694e+00	1.133694e+02	6.717802e+01	6.717802e+01
4.168694e+00	4.365158e+00	1.334322e+02	7.365743e+01	7.365743e+01
4.365158e+00	4.570882e+00	8.816006e+01	5.268243e+01	5.268243e+01
4.570882e+00	4.786301e+00	1.530499e+02	7.601564e+01	7.601564e+01
4.786301e+00	5.011872e+00	9.836597e+01	5.862706e+01	5.862706e+01
5.011872e+00	5.248075e+00	1.852394e+02	7.664399e+01	7.664399e+01
5.248075e+00	5.495409e+00	1.409510e+02	6.377445e+01	6.377445e+01
5.495409e+00	5.754399e+00	1.664087e+02	6.501298e+01	6.501298e+01
5.754399e+00	6.025596e+00	3.369907e+02	9.491491e+01	9.491491e+01
6.025596e+00	6.309573e+00	4.387112e+02	1.108372e+02	1.108372e+02
6.309573e+00	6.606934e+00	4.710493e+02	1.108869e+02	1.108869e+02
6.606934e+00	6.918310e+00	2.248814e+02	7.296302e+01	7.296302e+01
6.918310e+00	7.244360e+00	5.849845e+02	1.100790e+02	1.100790e+02
7.244360e+00	7.585776e+00	7.065445e+02	1.173031e+02	1.173031e+02
7.585776e+00	7.943282e+00	7.690707e+02	1.273070e+02	1.273070e+02
7.943282e+00	8.317638e+00	8.670610e+02	1.257093e+02	1.257093e+02
8.317638e+00	8.709636e+00	8.115304e+02	1.263685e+02	1.263685e+02
8.709636e+00	9.120108e+00	1.208568e+03	1.445567e+02	1.445567e+02
9.120108e+00	9.549926e+00	9.321469e+02	1.225762e+02	1.225762e+02
9.549926e+00	1.000000e+01	1.104479e+03	1.323081e+02	1.323081e+02
1.000000e+01	1.047129e+01	1.075103e+03	1.254855e+02	1.254855e+02
1.047129e+01	1.096478e+01	1.244922e+03	1.334365e+02	1.334365e+02
1.096478e+01	1.148154e+01	1.019851e+03	1.140082e+02	1.140082e+02
1.148154e+01	1.202264e+01	1.101710e+03	1.198214e+02	1.198214e+02
1.202264e+01	1.258925e+01	1.079324e+03	1.151119e+02	1.151119e+02
1.258925e+01	1.318257e+01	8.992576e+02	9.146086e+01	9.146086e+01
1.318257e+01	1.380384e+01	1.035262e+03	1.028493e+02	1.028493e+02
1.380384e+01	1.445440e+01	1.091772e+03	1.031018e+02	1.031018e+02
1.445440e+01	1.513561e+01	1.132121e+03	1.037937e+02	1.037937e+02
1.513561e+01	1.584893e+01	9.103111e+02	8.947684e+01	8.947684e+01
1.584893e+01	1.659587e+01	8.910530e+02	8.658937e+01	8.658937e+01
1.659587e+01	1.737801e+01	9.131639e+02	8.520435e+01	8.520435e+01
1.737801e+01	1.819701e+01	6.970326e+02	6.759899e+01	6.759899e+01
1.819701e+01	1.905461e+01	6.471060e+02	6.529375e+01	6.529375e+01
1.905461e+01	1.995262e+01	5.546317e+02	6.120756e+01	6.120756e+01
1.995262e+01	2.089296e+01	3.948628e+02	4.701858e+01	4.701858e+01
2.089296e+01	2.187762e+01	3.484858e+02	4.041179e+01	4.041179e+01
2.187762e+01	2.290868e+01	2.949135e+02	3.892667e+01	3.892667e+01
2.290868e+01	2.398833e+01	2.632606e+02	3.546741e+01	3.546741e+01
2.398833e+01	2.511886e+01	1.954116e+02	2.867033e+01	2.867033e+01
2.511886e+01	2.630268e+01	1.512079e+02	2.279392e+01	2.279392e+01
2.630268e+01	2.754229e+01	1.515189e+02	2.289635e+01	2.289635e+01
2.754229e+01	2.884032e+01	8.010670e+01	1.651632e+01	1.651632e+01
2.884032e+01	3.019952e+01	4.846097e+01	1.028197e+01	1.028197e+01
3.019952e+01	3.162278e+01	5.592072e+01	1.209673e+01	1.209673e+01
3.162278e+01	3.311311e+01	4.893899e+01	9.979073e+00	9.979073e+00
3.311311e+01	3.467369e+01	3.290106e+01	9.253156e+00	9.253156e+00
3.467369e+01	3.630781e+01	2.696859e+01	7.583929e+00	7.583929e+00
