# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_2
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_2
Title=Mass of second jet
LogY=1
XLabel=$m(\text{jet 2})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 2})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_2
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.737801e+00	5.273336e+01	5.273336e+01	5.273336e+01
1.737801e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	2.089296e+00	7.075192e+01	6.063799e+01	6.063799e+01
2.089296e+00	2.290868e+00	8.712510e+01	5.038534e+01	5.038534e+01
2.290868e+00	2.511886e+00	1.024974e+01	1.024973e+01	1.024973e+01
2.511886e+00	2.754229e+00	2.705391e+01	2.705391e+01	2.705391e+01
2.754229e+00	3.019952e+00	3.703082e+01	3.188146e+01	3.188146e+01
3.019952e+00	3.311311e+00	1.131176e+02	5.337499e+01	5.337499e+01
3.311311e+00	3.630781e+00	1.040853e+02	4.639885e+01	4.639885e+01
3.630781e+00	3.981072e+00	1.758441e+02	6.219274e+01	6.219274e+01
3.981072e+00	4.365158e+00	8.485045e+01	3.069554e+01	3.069554e+01
4.365158e+00	4.786301e+00	1.957580e+02	5.765510e+01	5.765510e+01
4.786301e+00	5.248075e+00	3.546917e+02	8.315387e+01	8.315387e+01
5.248075e+00	5.754399e+00	2.649310e+02	6.197544e+01	6.197544e+01
5.754399e+00	6.309573e+00	6.525639e+02	9.619707e+01	9.619707e+01
6.309573e+00	6.918310e+00	6.380892e+02	8.757006e+01	8.757006e+01
6.918310e+00	7.585776e+00	8.067127e+02	9.294133e+01	9.294133e+01
7.585776e+00	8.317638e+00	9.505780e+02	9.660652e+01	9.660652e+01
8.317638e+00	9.120108e+00	1.093977e+03	9.669764e+01	9.669764e+01
9.120108e+00	1.000000e+01	1.007221e+03	8.831735e+01	8.831735e+01
1.000000e+01	1.096478e+01	1.269581e+03	9.807293e+01	9.807293e+01
1.096478e+01	1.202264e+01	1.223492e+03	9.099114e+01	9.099114e+01
1.202264e+01	1.318257e+01	1.307986e+03	8.624227e+01	8.624227e+01
1.318257e+01	1.445440e+01	1.062084e+03	7.031203e+01	7.031203e+01
1.445440e+01	1.584893e+01	9.359354e+02	6.317067e+01	6.317067e+01
1.584893e+01	1.737801e+01	6.590178e+02	4.840437e+01	4.840437e+01
1.737801e+01	1.905461e+01	5.421431e+02	4.184254e+01	4.184254e+01
1.905461e+01	2.089296e+01	3.479548e+02	2.961584e+01	2.961584e+01
2.089296e+01	2.290868e+01	2.056293e+02	2.053456e+01	2.053456e+01
2.290868e+01	2.511886e+01	1.561132e+02	1.615105e+01	1.615105e+01
2.511886e+01	2.754229e+01	1.377198e+02	1.608501e+01	1.608501e+01
2.754229e+01	3.019952e+01	5.809516e+01	7.991239e+00	7.991239e+00
3.019952e+01	3.311311e+01	2.443444e+01	3.598494e+00	3.598494e+00
3.311311e+01	3.630781e+01	1.176353e+01	2.186423e+00	2.186423e+00
3.630781e+01	3.981072e+01	6.484928e+00	1.632230e+00	1.632230e+00
3.981072e+01	4.365158e+01	5.038278e+00	1.598675e+00	1.598675e+00
4.365158e+01	4.786301e+01	2.019606e+00	5.698465e-01	5.698465e-01
4.786301e+01	5.248075e+01	1.566402e+00	9.809953e-01	9.809953e-01
5.248075e+01	5.754399e+01	2.906595e-01	1.329007e-01	1.329007e-01
5.754399e+01	6.309573e+01	6.454749e-02	4.749324e-02	4.749324e-02
6.309573e+01	6.918310e+01	6.474464e-02	4.828209e-02	4.828209e-02
6.918310e+01	7.585776e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e+01	8.317638e+01	2.041519e-02	2.041518e-02	2.041518e-02
8.317638e+01	9.120108e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

