# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_3
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_3
Title=Mass of third jet
LogY=1
XLabel=$m(\text{jet 3})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 3})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_3
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_3
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	1.455173e+01	1.455174e+01	1.455174e+01
1.149757e+00	1.321941e+00	2.332217e+01	1.720037e+01	1.720037e+01
1.321941e+00	1.519911e+00	1.219111e+02	6.984409e+01	6.984409e+01
1.519911e+00	1.747528e+00	6.271021e+01	3.559302e+01	3.559302e+01
1.747528e+00	2.009233e+00	1.284029e+02	5.953532e+01	5.953532e+01
2.009233e+00	2.310130e+00	1.027677e+02	3.859614e+01	3.859614e+01
2.310130e+00	2.656088e+00	1.593573e+02	6.552415e+01	6.552415e+01
2.656088e+00	3.053856e+00	3.194998e+02	7.537391e+01	7.537391e+01
3.053856e+00	3.511192e+00	3.923159e+02	7.175009e+01	7.175009e+01
3.511192e+00	4.037017e+00	5.954238e+02	8.709043e+01	8.709043e+01
4.037017e+00	4.641589e+00	6.983931e+02	8.377139e+01	8.377139e+01
4.641589e+00	5.336699e+00	8.737000e+02	8.933139e+01	8.933139e+01
5.336699e+00	6.135907e+00	1.025267e+03	8.626968e+01	8.626968e+01
6.135907e+00	7.054802e+00	1.296509e+03	9.648647e+01	9.648647e+01
7.054802e+00	8.111308e+00	1.089581e+03	8.066422e+01	8.066422e+01
8.111308e+00	9.326033e+00	7.114614e+02	5.833349e+01	5.833349e+01
9.326033e+00	1.072267e+01	5.693880e+02	4.628460e+01	4.628460e+01
1.072267e+01	1.232847e+01	3.445722e+02	3.317226e+01	3.317226e+01
1.232847e+01	1.417474e+01	2.197805e+02	2.555740e+01	2.555740e+01
1.417474e+01	1.629751e+01	1.178136e+02	1.694404e+01	1.694404e+01
1.629751e+01	1.873817e+01	7.407619e+01	1.186846e+01	1.186846e+01
1.873817e+01	2.154435e+01	1.561277e+01	4.957502e+00	4.957502e+00
2.154435e+01	2.477076e+01	1.316286e+01	4.846906e+00	4.846906e+00
2.477076e+01	2.848036e+01	4.741587e+00	2.153810e+00	2.153810e+00
2.848036e+01	3.274549e+01	3.149773e-01	2.775908e-01	2.775908e-01
3.274549e+01	3.764936e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.764936e+01	4.328761e+01	1.594084e-01	1.594084e-01	1.594084e-01
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.564633e+01	8.697490e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.697490e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

