# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_4
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_4
Title=Mass of fourth jet
LogY=1
XLabel=$m(\text{jet 4})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 4})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_4
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_mass_4
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.445440e+00	4.708635e+01	4.708635e+01	4.708635e+01
1.445440e+00	1.737801e+00	2.785414e+01	2.650843e+01	2.650843e+01
1.737801e+00	2.089296e+00	6.120013e+01	3.227886e+01	3.227886e+01
2.089296e+00	2.511886e+00	4.188895e+01	1.984719e+01	1.984719e+01
2.511886e+00	3.019952e+00	1.399780e+02	4.444834e+01	4.444834e+01
3.019952e+00	3.630781e+00	2.078059e+02	4.814743e+01	4.814743e+01
3.630781e+00	4.365158e+00	3.965147e+02	5.738708e+01	5.738708e+01
4.365158e+00	5.248075e+00	3.926886e+02	5.096581e+01	5.096581e+01
5.248075e+00	6.309573e+00	4.831697e+02	5.114019e+01	5.114019e+01
6.309573e+00	7.585776e+00	4.364179e+02	4.415076e+01	4.415076e+01
7.585776e+00	9.120108e+00	2.269453e+02	2.785885e+01	2.785885e+01
9.120108e+00	1.096478e+01	1.748694e+02	2.264011e+01	2.264011e+01
1.096478e+01	1.318257e+01	5.559909e+01	1.107986e+01	1.107986e+01
1.318257e+01	1.584893e+01	2.846232e+01	6.891545e+00	6.891545e+00
1.584893e+01	1.905461e+01	5.390385e+00	3.061652e+00	3.061652e+00
1.905461e+01	2.290868e+01	2.545305e+00	1.413890e+00	1.413890e+00
2.290868e+01	2.754229e+01	1.019120e+00	5.410733e-01	5.410733e-01
2.754229e+01	3.311311e+01	1.197153e-01	1.197153e-01	1.197153e-01
3.311311e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

