# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_1
XLabel=$p_\perp(\text{jet 1})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 1})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_1
Title=Transverse momentum of leading jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_1
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.049510e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.049510e+01	1.101471e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.101471e+01	1.156004e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.156004e+01	1.213237e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.213237e+01	1.273304e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.273304e+01	1.336345e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.336345e+01	1.402507e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.402507e+01	1.471945e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.471945e+01	1.544820e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.544820e+01	1.621304e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.621304e+01	1.701574e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.701574e+01	1.785818e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.785818e+01	1.874233e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.874233e+01	1.967026e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.967026e+01	2.064413e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.064413e+01	2.166621e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.166621e+01	2.273890e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.273890e+01	2.386469e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.386469e+01	2.504623e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.504623e+01	2.628626e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.628626e+01	2.758768e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.758768e+01	2.895354e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.895354e+01	3.038702e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.038702e+01	3.189147e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.189147e+01	3.347040e+01	5.034227e+00	5.034227e+00	5.034227e+00
3.347040e+01	3.512751e+01	6.016592e+00	6.016592e+00	6.016592e+00
3.512751e+01	3.686666e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.686666e+01	3.869192e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.869192e+01	4.060754e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.060754e+01	4.261801e+01	9.493999e+00	6.821798e+00	6.821798e+00
4.261801e+01	4.472801e+01	5.215730e+00	5.215728e+00	5.215728e+00
4.472801e+01	4.694248e+01	1.383402e+01	7.033034e+00	7.033034e+00
4.694248e+01	4.926658e+01	3.331556e+00	3.331556e+00	3.331556e+00
4.926658e+01	5.170575e+01	4.388370e+00	4.388370e+00	4.388370e+00
5.170575e+01	5.426569e+01	1.832129e+01	8.336060e+00	8.336060e+00
5.426569e+01	5.695236e+01	8.006569e+00	4.920906e+00	4.920906e+00
5.695236e+01	5.977205e+01	3.135901e+01	9.754157e+00	9.754157e+00
5.977205e+01	6.273135e+01	1.764516e+01	6.865817e+00	6.865817e+00
6.273135e+01	6.583715e+01	1.815659e+01	7.062858e+00	7.062858e+00
6.583715e+01	6.909673e+01	2.557007e+01	7.982551e+00	7.982551e+00
6.909673e+01	7.251768e+01	2.009145e+01	7.170258e+00	7.170258e+00
7.251768e+01	7.610801e+01	1.635425e+01	6.180513e+00	6.180513e+00
7.610801e+01	7.987609e+01	4.985324e+01	1.031614e+01	1.031614e+01
7.987609e+01	8.383073e+01	4.951581e+01	1.004735e+01	1.004735e+01
8.383073e+01	8.798116e+01	6.068333e+01	1.143740e+01	1.143740e+01
8.798116e+01	9.233708e+01	5.740994e+01	1.032629e+01	1.032629e+01
9.233708e+01	9.690865e+01	6.574505e+01	1.016957e+01	1.016957e+01
9.690865e+01	1.017066e+02	6.896287e+01	1.083763e+01	1.083763e+01
1.017066e+02	1.067420e+02	9.546366e+01	1.247512e+01	1.247512e+01
1.067420e+02	1.120268e+02	1.012345e+02	1.253233e+01	1.253233e+01
1.120268e+02	1.175732e+02	1.139918e+02	1.264710e+01	1.264710e+01
1.175732e+02	1.233942e+02	1.184412e+02	1.270199e+01	1.270199e+01
1.233942e+02	1.295034e+02	1.472708e+02	1.380135e+01	1.380135e+01
1.295034e+02	1.359151e+02	1.419024e+02	1.263218e+01	1.263218e+01
1.359151e+02	1.426442e+02	1.796263e+02	1.395758e+01	1.395758e+01
1.426442e+02	1.497064e+02	1.573493e+02	1.263406e+01	1.263406e+01
1.497064e+02	1.571184e+02	1.439387e+02	1.150628e+01	1.150628e+01
1.571184e+02	1.648972e+02	1.243093e+02	9.730156e+00	9.730156e+00
1.648972e+02	1.730612e+02	1.134189e+02	8.534937e+00	8.534937e+00
1.730612e+02	1.816294e+02	8.280872e+01	6.468796e+00	6.468796e+00
1.816294e+02	1.906218e+02	6.720186e+01	5.319255e+00	5.319255e+00
1.906218e+02	2.000595e+02	5.212474e+01	4.098893e+00	4.098893e+00
2.000595e+02	2.099643e+02	4.377484e+01	3.400477e+00	3.400477e+00
2.099643e+02	2.203596e+02	2.762405e+01	2.299929e+00	2.299929e+00
2.203596e+02	2.312695e+02	2.182723e+01	1.882929e+00	1.882929e+00
2.312695e+02	2.427196e+02	1.764461e+01	1.860614e+00	1.860614e+00
2.427196e+02	2.547366e+02	1.269002e+01	1.075862e+00	1.075862e+00
2.547366e+02	2.673485e+02	9.786931e+00	1.039498e+00	1.039498e+00
2.673485e+02	2.805848e+02	7.537584e+00	8.516036e-01	8.516036e-01
2.805848e+02	2.944765e+02	4.624146e+00	4.450729e-01	4.450729e-01
2.944765e+02	3.090559e+02	3.931606e+00	4.252407e-01	4.252407e-01
3.090559e+02	3.243572e+02	2.162902e+00	2.177760e-01	2.177760e-01
3.243572e+02	3.404160e+02	1.369666e+00	1.787736e-01	1.787736e-01
3.404160e+02	3.572698e+02	1.069749e+00	2.198037e-01	2.198037e-01
3.572698e+02	3.749581e+02	7.379126e-01	1.484043e-01	1.484043e-01
3.749581e+02	3.935222e+02	2.095844e-01	5.300768e-02	5.300768e-02
3.935222e+02	4.130053e+02	1.801435e-01	9.452818e-02	9.452818e-02
4.130053e+02	4.334531e+02	1.009381e-01	3.142329e-02	3.142329e-02
4.334531e+02	4.549132e+02	9.806874e-02	9.025200e-02	9.025200e-02
4.549132e+02	4.774358e+02	3.817438e-02	2.056075e-02	2.056075e-02
4.774358e+02	5.010735e+02	2.407558e-01	1.920439e-01	1.920439e-01
5.010735e+02	5.258815e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.258815e+02	5.519177e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519177e+02	5.792429e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.792429e+02	6.079210e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.079210e+02	6.380190e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.380190e+02	6.696071e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.696071e+02	7.027591e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.027591e+02	7.375525e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.375525e+02	7.740684e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.740684e+02	8.123923e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.123923e+02	8.526135e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.526135e+02	8.948261e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.948261e+02	9.391287e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.391287e+02	9.856246e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.856246e+02	1.034423e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.034423e+03	1.085636e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.085636e+03	1.139386e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.139386e+03	1.195797e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.195797e+03	1.255000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

