# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_2
XLabel=$p_\perp(\text{jet 2})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 2})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_2
Title=Transverse momentum of second jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_2
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.092574e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.092574e+01	1.193719e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.193719e+01	1.304227e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.304227e+01	1.424965e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.424965e+01	1.556880e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.556880e+01	1.701008e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.701008e+01	1.858478e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.858478e+01	2.030525e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.030525e+01	2.218500e+01	1.642722e+01	7.862188e+00	7.862188e+00
2.218500e+01	2.423877e+01	4.421766e+01	1.289768e+01	1.289768e+01
2.423877e+01	2.648266e+01	2.828961e+01	9.269048e+00	9.269048e+00
2.648266e+01	2.893427e+01	2.547076e+01	9.158658e+00	9.158658e+00
2.893427e+01	3.161285e+01	4.348860e+01	1.129237e+01	1.129237e+01
3.161285e+01	3.453939e+01	5.334402e+01	1.235383e+01	1.235383e+01
3.453939e+01	3.773686e+01	4.975381e+01	1.091389e+01	1.091389e+01
3.773686e+01	4.123033e+01	8.118659e+01	1.374084e+01	1.374084e+01
4.123033e+01	4.504720e+01	6.765782e+01	1.182319e+01	1.182319e+01
4.504720e+01	4.921742e+01	1.300186e+02	1.579698e+01	1.579698e+01
4.921742e+01	5.377370e+01	1.042509e+02	1.329190e+01	1.329190e+01
5.377370e+01	5.875177e+01	9.172018e+01	1.165939e+01	1.165939e+01
5.875177e+01	6.419069e+01	1.418041e+02	1.424882e+01	1.424882e+01
6.419069e+01	7.013311e+01	9.799743e+01	1.097741e+01	1.097741e+01
7.013311e+01	7.662564e+01	1.552586e+02	1.311663e+01	1.311663e+01
7.662564e+01	8.371922e+01	1.311755e+02	1.144484e+01	1.144484e+01
8.371922e+01	9.146948e+01	1.219691e+02	1.017044e+01	1.017044e+01
9.146948e+01	9.993722e+01	1.353410e+02	1.082938e+01	1.082938e+01
9.993722e+01	1.091889e+02	1.290429e+02	9.421312e+00	9.421312e+00
1.091889e+02	1.192970e+02	1.113708e+02	8.122609e+00	8.122609e+00
1.192970e+02	1.303408e+02	9.255763e+01	7.051985e+00	7.051985e+00
1.303408e+02	1.424070e+02	8.946843e+01	6.517469e+00	6.517469e+00
1.424070e+02	1.555903e+02	6.562748e+01	4.590543e+00	4.590543e+00
1.555903e+02	1.699940e+02	4.409081e+01	3.316245e+00	3.316245e+00
1.699940e+02	1.857311e+02	2.188602e+01	1.690780e+00	1.690780e+00
1.857311e+02	2.029251e+02	1.440683e+01	1.153923e+00	1.153923e+00
2.029251e+02	2.217107e+02	8.206185e+00	6.300780e-01	6.300780e-01
2.217107e+02	2.422355e+02	5.535883e+00	4.489095e-01	4.489095e-01
2.422355e+02	2.646603e+02	3.530711e+00	3.416162e-01	3.416162e-01
2.646603e+02	2.891611e+02	1.504893e+00	1.433446e-01	1.433446e-01
2.891611e+02	3.159300e+02	7.102709e-01	7.690412e-02	7.690412e-02
3.159300e+02	3.451771e+02	2.760114e-01	4.130031e-02	4.130031e-02
3.451771e+02	3.771317e+02	2.411719e-01	1.392571e-01	1.392571e-01
3.771317e+02	4.120445e+02	9.313157e-03	6.606947e-03	6.606947e-03
4.120445e+02	4.501893e+02	3.095932e-02	3.095932e-02	3.095932e-02
4.501893e+02	4.918653e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.918653e+02	5.373995e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.373995e+02	5.871489e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.871489e+02	6.415039e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.415039e+02	7.008908e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.008908e+02	7.657754e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.657754e+02	8.366667e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

