# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_3
XLabel=$p_\perp(\text{jet 3})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 3})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_3
Title=Transverse momentum of third jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_3
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_3
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.133635e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.133635e+01	1.285128e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.285128e+01	1.456865e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.456865e+01	1.651553e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.651553e+01	1.872258e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.872258e+01	2.122457e+01	1.243594e+02	1.741735e+01	1.741735e+01
2.122457e+01	2.406091e+01	2.833997e+02	2.634872e+01	2.634872e+01
2.406091e+01	2.727628e+01	2.589515e+02	2.286689e+01	2.286689e+01
2.727628e+01	3.092134e+01	2.190854e+02	2.010145e+01	2.010145e+01
3.092134e+01	3.505350e+01	1.890999e+02	1.684750e+01	1.684750e+01
3.505350e+01	3.973787e+01	1.563700e+02	1.425713e+01	1.425713e+01
3.973787e+01	4.504823e+01	1.205641e+02	1.184794e+01	1.184794e+01
4.504823e+01	5.106824e+01	1.253494e+02	1.133082e+01	1.133082e+01
5.106824e+01	5.789273e+01	9.511640e+01	8.844352e+00	8.844352e+00
5.789273e+01	6.562921e+01	6.483375e+01	6.526490e+00	6.526490e+00
6.562921e+01	7.439955e+01	4.480582e+01	5.196677e+00	5.196677e+00
7.439955e+01	8.434191e+01	2.986520e+01	3.736091e+00	3.736091e+00
8.434191e+01	9.561292e+01	1.841341e+01	2.684799e+00	2.684799e+00
9.561292e+01	1.083901e+02	1.385648e+01	2.238487e+00	2.238487e+00
1.083901e+02	1.228748e+02	7.363494e+00	1.321816e+00	1.321816e+00
1.228748e+02	1.392952e+02	5.500479e+00	1.222702e+00	1.222702e+00
1.392952e+02	1.579098e+02	1.857758e+00	4.865063e-01	4.865063e-01
1.579098e+02	1.790121e+02	7.720997e-01	2.315462e-01	2.315462e-01
1.790121e+02	2.029343e+02	2.290527e-01	1.115363e-01	1.115363e-01
2.029343e+02	2.300534e+02	9.419387e-02	4.714194e-02	4.714194e-02
2.300534e+02	2.607965e+02	5.872121e-03	5.872121e-03	5.872121e-03
2.607965e+02	2.956479e+02	9.929704e-03	9.929706e-03	9.929706e-03
2.956479e+02	3.351568e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.351568e+02	3.799454e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.799454e+02	4.307193e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.307193e+02	4.882783e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.882783e+02	5.535293e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.535293e+02	6.275000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

