# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_4
XLabel=$p_\perp(\text{jet 4})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 4})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_4
Title=Transverse momentum of fourth jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_4
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_pT_4
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.169575e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.169575e+01	1.367906e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.367906e+01	1.599869e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.599869e+01	1.871167e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.871167e+01	2.188471e+01	1.330652e+02	1.638651e+01	1.638651e+01
2.188471e+01	2.559581e+01	1.404567e+02	1.487004e+01	1.487004e+01
2.559581e+01	2.993623e+01	1.021374e+02	1.219799e+01	1.219799e+01
2.993623e+01	3.501267e+01	8.356492e+01	9.919885e+00	9.919885e+00
3.501267e+01	4.094995e+01	5.469500e+01	6.877965e+00	6.877965e+00
4.094995e+01	4.789404e+01	4.146646e+01	5.908487e+00	5.908487e+00
4.789404e+01	5.601568e+01	2.102434e+01	3.497225e+00	3.497225e+00
5.601568e+01	6.551455e+01	1.428724e+01	2.530348e+00	2.530348e+00
6.551455e+01	7.662420e+01	4.999899e+00	1.277481e+00	1.277481e+00
7.662420e+01	8.961776e+01	3.727615e+00	1.109863e+00	1.109863e+00
8.961776e+01	1.048147e+02	1.152162e+00	4.645570e-01	4.645570e-01
1.048147e+02	1.225887e+02	1.220069e+00	6.512486e-01	6.512486e-01
1.225887e+02	1.433767e+02	1.738573e-01	1.041302e-01	1.041302e-01
1.433767e+02	1.676898e+02	5.922388e-02	4.018768e-02	4.018768e-02
1.676898e+02	1.961258e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.961258e+02	2.293839e+02	8.467985e-03	8.467985e-03	8.467985e-03
2.293839e+02	2.682817e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.682817e+02	3.137757e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.137757e+02	3.669842e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.669842e+02	4.292157e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.292157e+02	5.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

