# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\text{jet 1})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 1})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_1
Title=Rapidity of first jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_1
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	5.334485e+01	5.334487e+01	5.334487e+01
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	7.199770e+01	5.437950e+01	5.437950e+01
-3.000000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.600000e+00	3.259276e+02	1.118801e+02	1.118801e+02
-2.600000e+00	-2.400000e+00	5.907735e+02	1.490362e+02	1.490362e+02
-2.400000e+00	-2.200000e+00	9.410620e+02	1.834171e+02	1.834171e+02
-2.200000e+00	-2.000000e+00	1.259456e+03	2.011695e+02	2.011695e+02
-2.000000e+00	-1.800000e+00	1.775323e+03	2.314452e+02	2.314452e+02
-1.800000e+00	-1.600000e+00	2.757855e+03	2.898908e+02	2.898908e+02
-1.600000e+00	-1.400000e+00	2.924660e+03	2.997508e+02	2.997508e+02
-1.400000e+00	-1.200000e+00	3.515442e+03	3.411109e+02	3.411109e+02
-1.200000e+00	-1.000000e+00	3.593066e+03	3.268275e+02	3.268275e+02
-1.000000e+00	-8.000000e-01	4.120546e+03	3.638412e+02	3.638412e+02
-8.000000e-01	-6.000000e-01	3.958127e+03	3.438556e+02	3.438556e+02
-6.000000e-01	-4.000000e-01	4.739810e+03	3.800331e+02	3.800331e+02
-4.000000e-01	-2.000000e-01	4.312496e+03	3.653522e+02	3.653522e+02
-2.000000e-01	0.000000e+00	4.480699e+03	3.670065e+02	3.670065e+02
0.000000e+00	2.000000e-01	4.570115e+03	3.799366e+02	3.799366e+02
2.000000e-01	4.000000e-01	4.144364e+03	3.494231e+02	3.494231e+02
4.000000e-01	6.000000e-01	4.840043e+03	3.981808e+02	3.981808e+02
6.000000e-01	8.000000e-01	3.914151e+03	3.445104e+02	3.445104e+02
8.000000e-01	1.000000e+00	3.612288e+03	3.462053e+02	3.462053e+02
1.000000e+00	1.200000e+00	3.025941e+03	2.920555e+02	2.920555e+02
1.200000e+00	1.400000e+00	2.974642e+03	3.039981e+02	3.039981e+02
1.400000e+00	1.600000e+00	2.074429e+03	2.435656e+02	2.435656e+02
1.600000e+00	1.800000e+00	2.436246e+03	2.756443e+02	2.756443e+02
1.800000e+00	2.000000e+00	1.379229e+03	2.070911e+02	2.070911e+02
2.000000e+00	2.200000e+00	1.603297e+03	2.380683e+02	2.380683e+02
2.200000e+00	2.400000e+00	7.788210e+02	1.671237e+02	1.671237e+02
2.400000e+00	2.600000e+00	4.410612e+02	1.191839e+02	1.191839e+02
2.600000e+00	2.800000e+00	1.600980e+02	8.323323e+01	8.323323e+01
2.800000e+00	3.000000e+00	5.112535e+01	5.112536e+01	5.112536e+01
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

