# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\text{jet 2})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 2})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_2
Title=Rapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_2
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	3.410119e+01	3.410119e+01	3.410119e+01
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	4.208608e+01	4.208608e+01	4.208608e+01
-3.000000e+00	-2.800000e+00	1.440155e+02	7.242396e+01	7.242396e+01
-2.800000e+00	-2.600000e+00	3.800154e+02	1.271292e+02	1.271292e+02
-2.600000e+00	-2.400000e+00	4.290244e+02	1.249168e+02	1.249168e+02
-2.400000e+00	-2.200000e+00	1.116065e+03	2.132752e+02	2.132752e+02
-2.200000e+00	-2.000000e+00	7.925885e+02	1.559480e+02	1.559480e+02
-2.000000e+00	-1.800000e+00	1.558162e+03	2.313907e+02	2.313907e+02
-1.800000e+00	-1.600000e+00	2.434528e+03	2.903393e+02	2.903393e+02
-1.600000e+00	-1.400000e+00	2.330647e+03	2.627363e+02	2.627363e+02
-1.400000e+00	-1.200000e+00	2.755063e+03	2.938231e+02	2.938231e+02
-1.200000e+00	-1.000000e+00	3.388744e+03	3.258264e+02	3.258264e+02
-1.000000e+00	-8.000000e-01	3.432028e+03	3.182599e+02	3.182599e+02
-8.000000e-01	-6.000000e-01	4.072914e+03	3.518979e+02	3.518979e+02
-6.000000e-01	-4.000000e-01	4.574125e+03	3.638634e+02	3.638634e+02
-4.000000e-01	-2.000000e-01	4.578743e+03	3.747250e+02	3.747250e+02
-2.000000e-01	0.000000e+00	5.581960e+03	4.221369e+02	4.221369e+02
0.000000e+00	2.000000e-01	4.931854e+03	3.843588e+02	3.843588e+02
2.000000e-01	4.000000e-01	4.399878e+03	3.574919e+02	3.574919e+02
4.000000e-01	6.000000e-01	4.773171e+03	3.805299e+02	3.805299e+02
6.000000e-01	8.000000e-01	4.560174e+03	3.708319e+02	3.708319e+02
8.000000e-01	1.000000e+00	3.880066e+03	3.438359e+02	3.438359e+02
1.000000e+00	1.200000e+00	3.410141e+03	3.153174e+02	3.153174e+02
1.200000e+00	1.400000e+00	2.502813e+03	2.703882e+02	2.703882e+02
1.400000e+00	1.600000e+00	3.192424e+03	3.414535e+02	3.414535e+02
1.600000e+00	1.800000e+00	1.773921e+03	2.370370e+02	2.370370e+02
1.800000e+00	2.000000e+00	1.412579e+03	2.133069e+02	2.133069e+02
2.000000e+00	2.200000e+00	9.757280e+02	1.841927e+02	1.841927e+02
2.200000e+00	2.400000e+00	6.663565e+02	1.451806e+02	1.451806e+02
2.400000e+00	2.600000e+00	4.701953e+02	1.319856e+02	1.319856e+02
2.600000e+00	2.800000e+00	2.498256e+02	9.615399e+01	9.615399e+01
2.800000e+00	3.000000e+00	6.718845e+01	5.065876e+01	5.065876e+01
3.000000e+00	3.200000e+00	6.894105e+01	4.700915e+01	4.700915e+01
3.200000e+00	3.400000e+00	8.128540e+01	6.202415e+01	6.202415e+01
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

