# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\text{jet 3})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 3})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_3
Title=Rapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_3
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_3
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	1.427139e+01	1.313566e+01	1.313566e+01
-4.200000e+00	-3.800000e+00	2.295706e+01	2.101612e+01	2.101612e+01
-3.800000e+00	-3.400000e+00	1.124084e+02	4.696262e+01	4.696262e+01
-3.400000e+00	-3.000000e+00	1.708030e+02	5.076627e+01	5.076627e+01
-3.000000e+00	-2.600000e+00	3.943795e+02	8.408511e+01	8.408511e+01
-2.600000e+00	-2.200000e+00	4.976560e+02	8.553833e+01	8.553833e+01
-2.200000e+00	-1.800000e+00	8.894717e+02	1.158162e+02	1.158162e+02
-1.800000e+00	-1.400000e+00	1.100680e+03	1.301903e+02	1.301903e+02
-1.400000e+00	-1.000000e+00	1.627354e+03	1.489280e+02	1.489280e+02
-1.000000e+00	-6.000000e-01	2.062657e+03	1.765277e+02	1.765277e+02
-6.000000e-01	-2.000000e-01	2.414214e+03	1.948698e+02	1.948698e+02
-2.000000e-01	2.000000e-01	2.042288e+03	1.664335e+02	1.664335e+02
2.000000e-01	6.000000e-01	2.379512e+03	1.842758e+02	1.842758e+02
6.000000e-01	1.000000e+00	1.872952e+03	1.671905e+02	1.671905e+02
1.000000e+00	1.400000e+00	1.726430e+03	1.640091e+02	1.640091e+02
1.400000e+00	1.800000e+00	1.148639e+03	1.228997e+02	1.228997e+02
1.800000e+00	2.200000e+00	8.188372e+02	1.162649e+02	1.162649e+02
2.200000e+00	2.600000e+00	4.122240e+02	7.870029e+01	7.870029e+01
2.600000e+00	3.000000e+00	3.341533e+02	7.302025e+01	7.302025e+01
3.000000e+00	3.400000e+00	1.945305e+02	5.622316e+01	5.622316e+01
3.400000e+00	3.800000e+00	6.395268e+01	2.963171e+01	2.963171e+01
3.800000e+00	4.200000e+00	2.611767e+01	2.259130e+01	2.259130e+01
4.200000e+00	4.600000e+00	1.474724e+01	1.052602e+01	1.052602e+01
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

