# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\text{jet 4})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 4})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_4
Title=Rapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_4
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_4
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	6.576060e+00	4.666493e+00	4.666493e+00
-4.200000e+00	-3.800000e+00	1.078828e+01	8.635465e+00	8.635465e+00
-3.800000e+00	-3.400000e+00	3.457300e+01	1.844423e+01	1.844423e+01
-3.400000e+00	-3.000000e+00	5.196645e+01	2.975775e+01	2.975775e+01
-3.000000e+00	-2.600000e+00	1.927862e+02	5.616778e+01	5.616778e+01
-2.600000e+00	-2.200000e+00	2.940540e+02	6.458576e+01	6.458576e+01
-2.200000e+00	-1.800000e+00	2.852250e+02	6.438056e+01	6.438056e+01
-1.800000e+00	-1.400000e+00	5.483077e+02	9.270632e+01	9.270632e+01
-1.400000e+00	-1.000000e+00	5.410223e+02	8.923393e+01	8.923393e+01
-1.000000e+00	-6.000000e-01	6.997867e+02	1.028387e+02	1.028387e+02
-6.000000e-01	-2.000000e-01	8.473958e+02	1.102941e+02	1.102941e+02
-2.000000e-01	2.000000e-01	5.816920e+02	7.999250e+01	7.999250e+01
2.000000e-01	6.000000e-01	7.684250e+02	1.054485e+02	1.054485e+02
6.000000e-01	1.000000e+00	6.321167e+02	8.765073e+01	8.765073e+01
1.000000e+00	1.400000e+00	5.127143e+02	8.253268e+01	8.253268e+01
1.400000e+00	1.800000e+00	5.232237e+02	9.277597e+01	9.277597e+01
1.800000e+00	2.200000e+00	3.245337e+02	7.285264e+01	7.285264e+01
2.200000e+00	2.600000e+00	1.764005e+02	5.349900e+01	5.349900e+01
2.600000e+00	3.000000e+00	6.326663e+01	2.285121e+01	2.285121e+01
3.000000e+00	3.400000e+00	6.796815e+01	3.035066e+01	3.035066e+01
3.400000e+00	3.800000e+00	1.256351e+01	7.595886e+00	7.595886e+00
3.800000e+00	4.200000e+00	1.546234e+01	1.494594e+01	1.494594e+01
4.200000e+00	4.600000e+00	5.814980e+00	5.814980e+00	5.814980e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

