# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_pmratio_1
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_pmratio_1
Title=Rapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|y(\text{jet 1}|$
YLabel=$y(\text{jet 1})_+/y(\text{jet 1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_pmratio_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_pmratio_1
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.019956e+00	1.190355e-01	1.190355e-01
2.000000e-01	4.000000e-01	9.610129e-01	1.148643e-01	1.148643e-01
4.000000e-01	6.000000e-01	1.021147e+00	1.173062e-01	1.173062e-01
6.000000e-01	8.000000e-01	9.888897e-01	1.222945e-01	1.222945e-01
8.000000e-01	1.000000e+00	8.766527e-01	1.142419e-01	1.142419e-01
1.000000e+00	1.200000e+00	8.421611e-01	1.116917e-01	1.116917e-01
1.200000e+00	1.400000e+00	8.461645e-01	1.192443e-01	1.192443e-01
1.400000e+00	1.600000e+00	7.092891e-01	1.105451e-01	1.105451e-01
1.600000e+00	1.800000e+00	8.833842e-01	1.364262e-01	1.364262e-01
1.800000e+00	2.000000e+00	7.768892e-01	1.544834e-01	1.544834e-01
2.000000e+00	2.200000e+00	1.273007e+00	2.776239e-01	2.776239e-01
2.200000e+00	2.400000e+00	8.275983e-01	2.399102e-01	2.399102e-01
2.400000e+00	2.600000e+00	7.465826e-01	2.759943e-01	2.759943e-01
2.600000e+00	2.800000e+00	4.912074e-01	3.060174e-01	3.060174e-01
2.800000e+00	3.000000e+00	nan	nan	nan
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

