# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_pmratio_2
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_pmratio_2
Title=Rapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|y(\text{jet 2}|$
YLabel=$y(\text{jet 2})_+/y(\text{jet 2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_pmratio_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jet_y_pmratio_2
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.835342e-01	9.594737e-02	9.594737e-02
2.000000e-01	4.000000e-01	9.609356e-01	1.108182e-01	1.108182e-01
4.000000e-01	6.000000e-01	1.043515e+00	1.175224e-01	1.175224e-01
6.000000e-01	8.000000e-01	1.119634e+00	1.328444e-01	1.328444e-01
8.000000e-01	1.000000e+00	1.130546e+00	1.450103e-01	1.450103e-01
1.000000e+00	1.200000e+00	1.006314e+00	1.342382e-01	1.342382e-01
1.200000e+00	1.400000e+00	9.084410e-01	1.379071e-01	1.379071e-01
1.400000e+00	1.600000e+00	1.369759e+00	2.128562e-01	2.128562e-01
1.600000e+00	1.800000e+00	7.286508e-01	1.305036e-01	1.305036e-01
1.800000e+00	2.000000e+00	9.065675e-01	1.920031e-01	1.920031e-01
2.000000e+00	2.200000e+00	1.231065e+00	3.356760e-01	3.356760e-01
2.200000e+00	2.400000e+00	5.970591e-01	1.730296e-01	1.730296e-01
2.400000e+00	2.600000e+00	1.095964e+00	4.432514e-01	4.432514e-01
2.600000e+00	2.800000e+00	6.574091e-01	3.352470e-01	3.352470e-01
2.800000e+00	3.000000e+00	4.665362e-01	4.228230e-01	4.228230e-01
3.000000e+00	3.200000e+00	1.638096e+00	1.982674e+00	1.982674e+00
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

