# BEGIN PLOT
LegendXPos=0.10
XLabel=$\Delta{R}(\text{jet 1, jet 2})$
YLabel=$\text{d}\sigma/\text{d}\Delta{R}(\text{jet 1, jet 2})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_dR_12
Title=$\Delta R$ separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_dR_12
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_dR_12
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_dR_12
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	2.392623e+02	8.542763e+01	8.542763e+01
6.000000e-01	8.000000e-01	1.576457e+02	7.010039e+01	7.010039e+01
8.000000e-01	1.000000e+00	5.290490e+01	3.816524e+01	3.816524e+01
1.000000e+00	1.200000e+00	1.595392e+02	7.184777e+01	7.184777e+01
1.200000e+00	1.400000e+00	3.283303e+02	1.184109e+02	1.184109e+02
1.400000e+00	1.600000e+00	2.481174e+02	9.564509e+01	9.564509e+01
1.600000e+00	1.800000e+00	2.864532e+02	1.027786e+02	1.027786e+02
1.800000e+00	2.000000e+00	2.379858e+02	9.668497e+01	9.668497e+01
2.000000e+00	2.200000e+00	5.287525e+02	1.287994e+02	1.287994e+02
2.200000e+00	2.400000e+00	4.076540e+02	1.064098e+02	1.064098e+02
2.400000e+00	2.600000e+00	1.447082e+03	2.242597e+02	2.242597e+02
2.600000e+00	2.800000e+00	3.379320e+03	3.229771e+02	3.229771e+02
2.800000e+00	3.000000e+00	9.076130e+03	5.318559e+02	5.318559e+02
3.000000e+00	3.200000e+00	2.379103e+04	8.576554e+02	8.576554e+02
3.200000e+00	3.400000e+00	1.291730e+04	6.194041e+02	6.194041e+02
3.400000e+00	3.600000e+00	8.134180e+03	5.020371e+02	5.020371e+02
3.600000e+00	3.800000e+00	4.558627e+03	3.711575e+02	3.711575e+02
3.800000e+00	4.000000e+00	3.592597e+03	3.401301e+02	3.401301e+02
4.000000e+00	4.200000e+00	2.255954e+03	2.765692e+02	2.765692e+02
4.200000e+00	4.400000e+00	1.308778e+03	2.054097e+02	2.054097e+02
4.400000e+00	4.600000e+00	8.290150e+02	1.817023e+02	1.817023e+02
4.600000e+00	4.800000e+00	3.269129e+02	1.009536e+02	1.009536e+02
4.800000e+00	5.000000e+00	2.881676e+02	1.002234e+02	1.002234e+02
# END HISTO1D

