# BEGIN PLOT
LegendXPos=0.30
XLabel=$\Delta\eta(\text{jet 1, jet 2})$
YLabel=$\text{d}\sigma/\text{d}\Delta\eta(\text{jet 1, jet 2})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_deta_12
Title=Pseudorapidity separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_deta_12
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_deta_12
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_deta_12
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.208017e+01	1.208017e+01	1.208017e+01
-4.600000e+00	-4.200000e+00	1.231082e+02	4.823960e+01	4.823960e+01
-4.200000e+00	-3.800000e+00	1.247821e+02	4.335882e+01	4.335882e+01
-3.800000e+00	-3.400000e+00	9.917570e+01	3.797130e+01	3.797130e+01
-3.400000e+00	-3.000000e+00	4.413075e+02	8.719812e+01	8.719812e+01
-3.000000e+00	-2.600000e+00	9.950040e+02	1.323951e+02	1.323951e+02
-2.600000e+00	-2.200000e+00	1.420174e+03	1.528000e+02	1.528000e+02
-2.200000e+00	-1.800000e+00	2.047648e+03	1.831172e+02	1.831172e+02
-1.800000e+00	-1.400000e+00	2.282319e+03	1.828610e+02	1.828610e+02
-1.400000e+00	-1.000000e+00	2.775100e+03	2.025099e+02	2.025099e+02
-1.000000e+00	-6.000000e-01	3.687645e+03	2.355311e+02	2.355311e+02
-6.000000e-01	-2.000000e-01	3.379785e+03	2.208507e+02	2.208507e+02
-2.000000e-01	2.000000e-01	3.649017e+03	2.415970e+02	2.415970e+02
2.000000e-01	6.000000e-01	3.482660e+03	2.324709e+02	2.324709e+02
6.000000e-01	1.000000e+00	3.161410e+03	2.256744e+02	2.256744e+02
1.000000e+00	1.400000e+00	3.050163e+03	2.159687e+02	2.159687e+02
1.400000e+00	1.800000e+00	2.506432e+03	1.983703e+02	1.983703e+02
1.800000e+00	2.200000e+00	1.819788e+03	1.697354e+02	1.697354e+02
2.200000e+00	2.600000e+00	1.021154e+03	1.271198e+02	1.271198e+02
2.600000e+00	3.000000e+00	7.446145e+02	1.080885e+02	1.080885e+02
3.000000e+00	3.400000e+00	2.827150e+02	6.832853e+01	6.832853e+01
3.400000e+00	3.800000e+00	2.660335e+02	7.334179e+01	7.334179e+01
3.800000e+00	4.200000e+00	5.186127e+01	3.093586e+01	3.093586e+01
4.200000e+00	4.600000e+00	1.066957e+02	4.595045e+01	4.595045e+01
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

