# BEGIN PLOT
LegendXPos=0.1
XLabel=$\Delta\phi(\text{jet 1, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta\phi(\text{jet 1, jet 3})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_dphi_13
Title=Azimuthal separation between jets
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_dphi_13
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_dphi_13
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test/Rivet.yoda/MC_JETS/jets_dphi_13
ScaledBy=1.24929734198877661e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	8.804165e+02	1.959328e+02	1.959328e+02
1.256637e-01	2.513274e-01	9.618283e+02	2.133341e+02	2.133341e+02
2.513274e-01	3.769911e-01	8.660862e+02	2.117750e+02	2.117750e+02
3.769911e-01	5.026548e-01	1.418094e+03	2.701103e+02	2.701103e+02
5.026548e-01	6.283185e-01	1.145919e+03	2.177480e+02	2.177480e+02
6.283185e-01	7.539822e-01	1.336427e+03	2.599997e+02	2.599997e+02
7.539822e-01	8.796459e-01	1.366784e+03	2.693770e+02	2.693770e+02
8.796459e-01	1.005310e+00	1.273459e+03	2.426422e+02	2.426422e+02
1.005310e+00	1.130973e+00	7.316342e+02	1.692666e+02	1.692666e+02
1.130973e+00	1.256637e+00	1.651657e+03	2.952564e+02	2.952564e+02
1.256637e+00	1.382301e+00	1.194387e+03	2.226380e+02	2.226380e+02
1.382301e+00	1.507964e+00	1.281248e+03	2.398321e+02	2.398321e+02
1.507964e+00	1.633628e+00	1.237590e+03	2.359445e+02	2.359445e+02
1.633628e+00	1.759292e+00	1.334672e+03	2.285005e+02	2.285005e+02
1.759292e+00	1.884956e+00	1.474437e+03	2.581810e+02	2.581810e+02
1.884956e+00	2.010619e+00	2.325047e+03	3.356621e+02	3.356621e+02
2.010619e+00	2.136283e+00	2.120681e+03	3.061871e+02	3.061871e+02
2.136283e+00	2.261947e+00	3.189412e+03	3.986902e+02	3.986902e+02
2.261947e+00	2.387610e+00	3.750907e+03	4.315437e+02	4.315437e+02
2.387610e+00	2.513274e+00	4.543650e+03	4.757872e+02	4.757872e+02
2.513274e+00	2.638938e+00	4.937862e+03	4.740742e+02	4.740742e+02
2.638938e+00	2.764602e+00	6.109501e+03	5.312048e+02	5.312048e+02
2.764602e+00	2.890265e+00	7.144222e+03	5.820927e+02	5.820927e+02
2.890265e+00	3.015929e+00	6.404226e+03	5.628669e+02	5.628669e+02
3.015929e+00	3.141593e+00	6.068005e+03	5.306892e+02	5.306892e+02
# END HISTO1D

