# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_HT
XLabel=$H_\text{T}$ [GeV]
YLabel=$\text{d}\sigma/\text{d}H_\text{T}$ [pb/GeV]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_HT
Title=Scalar sum of jet transverse momenta ($H_\text{T}$)
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_HT
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.202941e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.202941e+01	2.426475e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.426475e+01	2.672690e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.672690e+01	2.943889e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.943889e+01	3.242607e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.242607e+01	3.571636e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.571636e+01	3.934052e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.934052e+01	4.333242e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.333242e+01	4.772939e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.772939e+01	5.257251e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.257251e+01	5.790707e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.790707e+01	6.378293e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.378293e+01	7.025502e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.025502e+01	7.738383e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.738383e+01	8.523601e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.523601e+01	9.388495e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.388495e+01	1.034115e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.034115e+02	1.139047e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.139047e+02	1.254627e+02	4.207993e-01	4.207992e-01	4.207992e-01
1.254627e+02	1.381935e+02	5.574786e-01	5.574787e-01	5.574787e-01
1.381935e+02	1.522160e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.522160e+02	1.676615e+02	7.498197e-01	7.498199e-01	7.498199e-01
1.676615e+02	1.846742e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.846742e+02	2.034131e+02	4.997822e-01	4.997822e-01	4.997822e-01
2.034131e+02	2.240536e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.240536e+02	2.467884e+02	2.957437e+00	1.027601e+00	1.027601e+00
2.467884e+02	2.718301e+02	1.407988e+01	2.324171e+00	2.324171e+00
2.718301e+02	2.994129e+02	4.394300e+01	3.927284e+00	3.927284e+00
2.994129e+02	3.297945e+02	9.477450e+01	5.270547e+00	5.270547e+00
3.297945e+02	3.632589e+02	9.200350e+01	4.402023e+00	4.402023e+00
3.632589e+02	4.001189e+02	6.752990e+01	3.193530e+00	3.193530e+00
4.001189e+02	4.407192e+02	4.124494e+01	2.094631e+00	2.094631e+00
4.407192e+02	4.854392e+02	2.753131e+01	1.445326e+00	1.445326e+00
4.854392e+02	5.346970e+02	1.533633e+01	9.364293e-01	9.364293e-01
5.346970e+02	5.889530e+02	8.854223e+00	6.081768e-01	6.081768e-01
5.889530e+02	6.487143e+02	5.414276e+00	4.265473e-01	4.265473e-01
6.487143e+02	7.145397e+02	2.815600e+00	2.597523e-01	2.597523e-01
7.145397e+02	7.870444e+02	1.416017e+00	1.483808e-01	1.483808e-01
7.870444e+02	8.669062e+02	4.359534e-01	6.736229e-02	6.736229e-02
8.669062e+02	9.548716e+02	2.706992e-01	6.017118e-02	6.017118e-02
9.548716e+02	1.051763e+03	7.707042e-02	2.006025e-02	2.006025e-02
1.051763e+03	1.158486e+03	1.314051e-02	6.256164e-03	6.256164e-03
1.158486e+03	1.276038e+03	2.717169e-03	1.965163e-03	1.965163e-03
1.276038e+03	1.405518e+03	1.027873e-03	1.027873e-03	1.027873e-03
1.405518e+03	1.548137e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.548137e+03	1.705227e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.705227e+03	1.878257e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.878257e+03	2.068845e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.068845e+03	2.278772e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.278772e+03	2.510000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

