# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\text{jet 1})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 1})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_1
Title=Pseudorapidity of leading jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_1
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	5.536645e+01	5.536644e+01	5.536644e+01
-3.000000e+00	-2.800000e+00	5.150000e+01	5.150000e+01	5.150000e+01
-2.800000e+00	-2.600000e+00	3.527664e+02	1.181080e+02	1.181080e+02
-2.600000e+00	-2.400000e+00	3.802230e+02	1.140052e+02	1.140052e+02
-2.400000e+00	-2.200000e+00	8.198485e+02	1.661878e+02	1.661878e+02
-2.200000e+00	-2.000000e+00	1.087081e+03	1.919967e+02	1.919967e+02
-2.000000e+00	-1.800000e+00	1.678681e+03	2.257084e+02	2.257084e+02
-1.800000e+00	-1.600000e+00	2.038910e+03	2.592914e+02	2.592914e+02
-1.600000e+00	-1.400000e+00	2.713434e+03	2.988075e+02	2.988075e+02
-1.400000e+00	-1.200000e+00	2.991284e+03	3.070923e+02	3.070923e+02
-1.200000e+00	-1.000000e+00	3.208111e+03	3.129694e+02	3.129694e+02
-1.000000e+00	-8.000000e-01	3.826487e+03	3.446141e+02	3.446141e+02
-8.000000e-01	-6.000000e-01	4.030444e+03	3.466690e+02	3.466690e+02
-6.000000e-01	-4.000000e-01	4.565429e+03	3.758257e+02	3.758257e+02
-4.000000e-01	-2.000000e-01	4.489120e+03	3.588371e+02	3.588371e+02
-2.000000e-01	0.000000e+00	5.186805e+03	3.985092e+02	3.985092e+02
0.000000e+00	2.000000e-01	4.662772e+03	3.707794e+02	3.707794e+02
2.000000e-01	4.000000e-01	4.593620e+03	3.653842e+02	3.653842e+02
4.000000e-01	6.000000e-01	4.399521e+03	3.570411e+02	3.570411e+02
6.000000e-01	8.000000e-01	3.899931e+03	3.490632e+02	3.490632e+02
8.000000e-01	1.000000e+00	3.791748e+03	3.521511e+02	3.521511e+02
1.000000e+00	1.200000e+00	3.639026e+03	3.427399e+02	3.427399e+02
1.200000e+00	1.400000e+00	2.792266e+03	2.800864e+02	2.800864e+02
1.400000e+00	1.600000e+00	2.625051e+03	2.980507e+02	2.980507e+02
1.600000e+00	1.800000e+00	2.465788e+03	2.801651e+02	2.801651e+02
1.800000e+00	2.000000e+00	1.868053e+03	2.584171e+02	2.584171e+02
2.000000e+00	2.200000e+00	1.164644e+03	1.936044e+02	1.936044e+02
2.200000e+00	2.400000e+00	7.600360e+02	1.638415e+02	1.638415e+02
2.400000e+00	2.600000e+00	3.677675e+02	1.133010e+02	1.133010e+02
2.600000e+00	2.800000e+00	1.104555e+02	6.334102e+01	6.334102e+01
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	5.033505e+01	5.033505e+01	5.033505e+01
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

