# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\text{jet 2})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 2})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_2
Title=Pseudorapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_2
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	1.986329e+01	1.986329e+01	1.986329e+01
-3.000000e+00	-2.800000e+00	9.060855e+01	6.414799e+01	6.414799e+01
-2.800000e+00	-2.600000e+00	1.753917e+02	8.855809e+01	8.855809e+01
-2.600000e+00	-2.400000e+00	7.044590e+02	1.666268e+02	1.666268e+02
-2.400000e+00	-2.200000e+00	6.558760e+02	1.571499e+02	1.571499e+02
-2.200000e+00	-2.000000e+00	1.215332e+03	2.048609e+02	2.048609e+02
-2.000000e+00	-1.800000e+00	1.730287e+03	2.395520e+02	2.395520e+02
-1.800000e+00	-1.600000e+00	1.655460e+03	2.259131e+02	2.259131e+02
-1.600000e+00	-1.400000e+00	2.958524e+03	3.011665e+02	3.011665e+02
-1.400000e+00	-1.200000e+00	3.263281e+03	3.260152e+02	3.260152e+02
-1.200000e+00	-1.000000e+00	3.505854e+03	3.263569e+02	3.263569e+02
-1.000000e+00	-8.000000e-01	3.746572e+03	3.418419e+02	3.418419e+02
-8.000000e-01	-6.000000e-01	4.108879e+03	3.552589e+02	3.552589e+02
-6.000000e-01	-4.000000e-01	4.576353e+03	3.579924e+02	3.579924e+02
-4.000000e-01	-2.000000e-01	4.654875e+03	3.831704e+02	3.831704e+02
-2.000000e-01	0.000000e+00	5.087530e+03	3.987539e+02	3.987539e+02
0.000000e+00	2.000000e-01	4.516734e+03	3.606565e+02	3.606565e+02
2.000000e-01	4.000000e-01	4.597069e+03	3.816227e+02	3.816227e+02
4.000000e-01	6.000000e-01	4.406950e+03	3.586702e+02	3.586702e+02
6.000000e-01	8.000000e-01	3.551140e+03	3.267166e+02	3.267166e+02
8.000000e-01	1.000000e+00	3.925491e+03	3.448041e+02	3.448041e+02
1.000000e+00	1.200000e+00	3.490852e+03	3.279306e+02	3.279306e+02
1.200000e+00	1.400000e+00	3.156163e+03	3.172439e+02	3.172439e+02
1.400000e+00	1.600000e+00	2.182295e+03	2.627693e+02	2.627693e+02
1.600000e+00	1.800000e+00	1.908549e+03	2.308075e+02	2.308075e+02
1.800000e+00	2.000000e+00	1.601233e+03	2.372605e+02	2.372605e+02
2.000000e+00	2.200000e+00	1.433713e+03	2.170536e+02	2.170536e+02
2.200000e+00	2.400000e+00	1.034168e+03	1.881641e+02	1.881641e+02
2.400000e+00	2.600000e+00	3.023522e+02	9.876413e+01	9.876413e+01
2.600000e+00	2.800000e+00	1.404486e+02	7.968668e+01	7.968668e+01
2.800000e+00	3.000000e+00	1.163699e+02	5.957976e+01	5.957976e+01
3.000000e+00	3.200000e+00	1.538258e+02	8.928588e+01	8.928588e+01
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

