# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\text{jet 3})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 3})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_3
Title=Pseudorapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_3
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_3
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	1.437805e+01	1.162433e+01	1.162433e+01
-3.800000e+00	-3.400000e+00	9.979070e+01	4.181058e+01	4.181058e+01
-3.400000e+00	-3.000000e+00	1.159430e+02	4.429087e+01	4.429087e+01
-3.000000e+00	-2.600000e+00	3.282085e+02	7.097150e+01	7.097150e+01
-2.600000e+00	-2.200000e+00	7.926430e+02	1.132690e+02	1.132690e+02
-2.200000e+00	-1.800000e+00	1.066530e+03	1.281487e+02	1.281487e+02
-1.800000e+00	-1.400000e+00	1.601927e+03	1.548083e+02	1.548083e+02
-1.400000e+00	-1.000000e+00	2.227208e+03	1.825771e+02	1.825771e+02
-1.000000e+00	-6.000000e-01	2.479277e+03	1.929392e+02	1.929392e+02
-6.000000e-01	-2.000000e-01	3.075065e+03	2.083825e+02	2.083825e+02
-2.000000e-01	2.000000e-01	3.234835e+03	2.189840e+02	2.189840e+02
2.000000e-01	6.000000e-01	2.895578e+03	2.009766e+02	2.009766e+02
6.000000e-01	1.000000e+00	2.945398e+03	2.145506e+02	2.145506e+02
1.000000e+00	1.400000e+00	2.007361e+03	1.781420e+02	1.781420e+02
1.400000e+00	1.800000e+00	1.678890e+03	1.585239e+02	1.585239e+02
1.800000e+00	2.200000e+00	1.000840e+03	1.290492e+02	1.290492e+02
2.200000e+00	2.600000e+00	9.168403e+02	1.338855e+02	1.338855e+02
2.600000e+00	3.000000e+00	4.035435e+02	7.890131e+01	7.890131e+01
3.000000e+00	3.400000e+00	1.897772e+02	5.958769e+01	5.958769e+01
3.400000e+00	3.800000e+00	5.991400e+01	2.856894e+01	2.856894e+01
3.800000e+00	4.200000e+00	2.555525e+00	2.555525e+00	2.555525e+00
4.200000e+00	4.600000e+00	4.790528e+00	4.790528e+00	4.790528e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

