# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\text{jet 4})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 4})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_4
Title=Pseudorapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_4
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_4
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	1.886672e+01	1.619991e+01	1.619991e+01
-4.200000e+00	-3.800000e+00	8.398612e+00	8.398612e+00	8.398612e+00
-3.800000e+00	-3.400000e+00	4.509795e+01	2.582616e+01	2.582616e+01
-3.400000e+00	-3.000000e+00	7.788993e+01	2.778727e+01	2.778727e+01
-3.000000e+00	-2.600000e+00	2.253848e+02	6.160828e+01	6.160828e+01
-2.600000e+00	-2.200000e+00	3.926795e+02	7.972852e+01	7.972852e+01
-2.200000e+00	-1.800000e+00	5.933812e+02	1.011967e+02	1.011967e+02
-1.800000e+00	-1.400000e+00	7.856367e+02	1.133090e+02	1.133090e+02
-1.400000e+00	-1.000000e+00	1.061505e+03	1.220105e+02	1.220105e+02
-1.000000e+00	-6.000000e-01	1.407131e+03	1.449752e+02	1.449752e+02
-6.000000e-01	-2.000000e-01	1.529058e+03	1.479213e+02	1.479213e+02
-2.000000e-01	2.000000e-01	1.695180e+03	1.584169e+02	1.584169e+02
2.000000e-01	6.000000e-01	1.569061e+03	1.513188e+02	1.513188e+02
6.000000e-01	1.000000e+00	1.056931e+03	1.194314e+02	1.194314e+02
1.000000e+00	1.400000e+00	9.033945e+02	1.110783e+02	1.110783e+02
1.400000e+00	1.800000e+00	6.874645e+02	9.649356e+01	9.649356e+01
1.800000e+00	2.200000e+00	7.526237e+02	1.139540e+02	1.139540e+02
2.200000e+00	2.600000e+00	3.386010e+02	7.302952e+01	7.302952e+01
2.600000e+00	3.000000e+00	1.927187e+02	5.307598e+01	5.307598e+01
3.000000e+00	3.400000e+00	6.872125e+01	2.666747e+01	2.666747e+01
3.400000e+00	3.800000e+00	1.392926e+02	5.490139e+01	5.490139e+01
3.800000e+00	4.200000e+00	2.597897e+01	2.525509e+01	2.525509e+01
4.200000e+00	4.600000e+00	5.418808e-01	5.418807e-01	5.418807e-01
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

