# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
Title=Pseudorapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|\eta(\text{jet 1}|$
YLabel=$\eta(\text{jet 1})_+/\eta(\text{jet 1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.989684e-01	9.940145e-02	9.940145e-02
2.000000e-01	4.000000e-01	1.023279e+00	1.153923e-01	1.153923e-01
4.000000e-01	6.000000e-01	9.636599e-01	1.113960e-01	1.113960e-01
6.000000e-01	8.000000e-01	9.676182e-01	1.201145e-01	1.201145e-01
8.000000e-01	1.000000e+00	9.909215e-01	1.281941e-01	1.281941e-01
1.000000e+00	1.200000e+00	1.134320e+00	1.538158e-01	1.538158e-01
1.200000e+00	1.400000e+00	9.334673e-01	1.339818e-01	1.339818e-01
1.400000e+00	1.600000e+00	9.674277e-01	1.530197e-01	1.530197e-01
1.600000e+00	1.800000e+00	1.209366e+00	2.062398e-01	2.062398e-01
1.800000e+00	2.000000e+00	1.112810e+00	2.146742e-01	2.146742e-01
2.000000e+00	2.200000e+00	1.071350e+00	2.598492e-01	2.598492e-01
2.200000e+00	2.400000e+00	9.270446e-01	2.743180e-01	2.743180e-01
2.400000e+00	2.600000e+00	9.672417e-01	4.158179e-01	4.158179e-01
2.600000e+00	2.800000e+00	3.131121e-01	2.079175e-01	2.079175e-01
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	9.091256e-01	1.285698e+00	1.285698e+00
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	nan	nan	nan
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

