# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
Title=Pseudorapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|\eta(\text{jet 2}|$
YLabel=$\eta(\text{jet 2})_+/\eta(\text{jet 2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.878048e-01	9.933529e-02	9.933529e-02
2.000000e-01	4.000000e-01	9.875816e-01	1.154554e-01	1.154554e-01
4.000000e-01	6.000000e-01	9.629828e-01	1.087075e-01	1.087075e-01
6.000000e-01	8.000000e-01	8.642601e-01	1.091166e-01	1.091166e-01
8.000000e-01	1.000000e+00	1.047756e+00	1.326987e-01	1.326987e-01
1.000000e+00	1.200000e+00	9.957207e-01	1.316850e-01	1.316850e-01
1.200000e+00	1.400000e+00	9.671749e-01	1.370669e-01	1.370669e-01
1.400000e+00	1.600000e+00	7.376297e-01	1.163047e-01	1.163047e-01
1.600000e+00	1.800000e+00	1.152881e+00	2.102159e-01	2.102159e-01
1.800000e+00	2.000000e+00	9.254147e-01	1.876627e-01	1.876627e-01
2.000000e+00	2.200000e+00	1.179689e+00	2.672808e-01	2.672808e-01
2.200000e+00	2.400000e+00	1.576773e+00	4.743820e-01	4.743820e-01
2.400000e+00	2.600000e+00	4.291978e-01	1.730945e-01	1.730945e-01
2.600000e+00	2.800000e+00	8.007710e-01	6.081918e-01	6.081918e-01
2.800000e+00	3.000000e+00	1.284315e+00	1.122104e+00	1.122104e+00
3.000000e+00	3.200000e+00	7.744227e+00	8.954231e+00	8.954231e+00
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	nan	nan	nan
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

