# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_1
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_1
Title=Mass of first jet
LogY=1
XLabel=$m(\text{jet 1})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 1})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_1
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.148154e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.148154e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.258925e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.380384e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.513561e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.513561e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.659587e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.659587e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.819701e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.819701e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	1.995262e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.995262e+00	2.089296e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+00	2.187762e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.187762e+00	2.290868e+00	9.219737e+01	9.219737e+01	9.219737e+01
2.290868e+00	2.398833e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.398833e+00	2.511886e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+00	2.630268e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.630268e+00	2.754229e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+00	2.884032e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.884032e+00	3.019952e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e+00	3.162278e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.162278e+00	3.311311e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+00	3.467369e+00	4.247975e+01	4.247975e+01	4.247975e+01
3.467369e+00	3.630781e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+00	3.801894e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.801894e+00	3.981072e+00	4.376918e+01	3.790928e+01	3.790928e+01
3.981072e+00	4.168694e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.168694e+00	4.365158e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e+00	4.570882e+00	8.613730e+01	6.185498e+01	6.185498e+01
4.570882e+00	4.786301e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+00	5.011872e+00	2.733275e+00	2.733275e+00	2.733275e+00
5.011872e+00	5.248075e+00	3.556789e+01	3.272173e+01	3.272173e+01
5.248075e+00	5.495409e+00	5.482336e+01	4.095938e+01	4.095938e+01
5.495409e+00	5.754399e+00	1.251752e+02	6.258638e+01	6.258638e+01
5.754399e+00	6.025596e+00	1.415317e+02	6.318470e+01	6.318470e+01
6.025596e+00	6.309573e+00	2.548647e+01	1.344487e+01	1.344487e+01
6.309573e+00	6.606934e+00	5.955028e+01	4.263594e+01	4.263594e+01
6.606934e+00	6.918310e+00	1.618652e+02	5.502568e+01	5.502568e+01
6.918310e+00	7.244360e+00	1.772041e+02	6.612814e+01	6.612814e+01
7.244360e+00	7.585776e+00	6.757097e+01	3.504737e+01	3.504737e+01
7.585776e+00	7.943282e+00	2.722708e+02	7.421267e+01	7.421267e+01
7.943282e+00	8.317638e+00	1.768017e+02	5.961726e+01	5.961726e+01
8.317638e+00	8.709636e+00	2.468453e+02	6.409023e+01	6.409023e+01
8.709636e+00	9.120108e+00	3.857501e+02	8.761843e+01	8.761843e+01
9.120108e+00	9.549926e+00	3.730295e+02	7.469517e+01	7.469517e+01
9.549926e+00	1.000000e+01	3.903758e+02	7.334164e+01	7.334164e+01
1.000000e+01	1.047129e+01	4.981826e+02	8.803371e+01	8.803371e+01
1.047129e+01	1.096478e+01	4.678926e+02	7.984332e+01	7.984332e+01
1.096478e+01	1.148154e+01	4.987977e+02	7.839023e+01	7.839023e+01
1.148154e+01	1.202264e+01	6.183966e+02	8.451917e+01	8.451917e+01
1.202264e+01	1.258925e+01	7.713494e+02	9.753713e+01	9.753713e+01
1.258925e+01	1.318257e+01	6.506634e+02	8.645895e+01	8.645895e+01
1.318257e+01	1.380384e+01	7.968608e+02	9.237361e+01	9.237361e+01
1.380384e+01	1.445440e+01	8.996145e+02	9.757899e+01	9.757899e+01
1.445440e+01	1.513561e+01	9.281000e+02	9.910581e+01	9.910581e+01
1.513561e+01	1.584893e+01	1.193539e+03	1.097778e+02	1.097778e+02
1.584893e+01	1.659587e+01	9.119367e+02	9.028885e+01	9.028885e+01
1.659587e+01	1.737801e+01	8.738717e+02	8.319703e+01	8.319703e+01
1.737801e+01	1.819701e+01	8.449519e+02	8.036827e+01	8.036827e+01
1.819701e+01	1.905461e+01	7.633018e+02	7.457842e+01	7.457842e+01
1.905461e+01	1.995262e+01	7.254651e+02	6.927592e+01	6.927592e+01
1.995262e+01	2.089296e+01	6.783644e+02	6.691215e+01	6.691215e+01
2.089296e+01	2.187762e+01	7.285794e+02	6.602476e+01	6.602476e+01
2.187762e+01	2.290868e+01	5.791003e+02	5.804150e+01	5.804150e+01
2.290868e+01	2.398833e+01	5.767719e+02	5.702925e+01	5.702925e+01
2.398833e+01	2.511886e+01	4.989044e+02	5.209086e+01	5.209086e+01
2.511886e+01	2.630268e+01	3.372200e+02	3.838520e+01	3.838520e+01
2.630268e+01	2.754229e+01	3.180458e+02	3.636603e+01	3.636603e+01
2.754229e+01	2.884032e+01	2.857859e+02	3.378874e+01	3.378874e+01
2.884032e+01	3.019952e+01	2.298772e+02	3.014486e+01	3.014486e+01
3.019952e+01	3.162278e+01	2.220120e+02	3.007496e+01	3.007496e+01
3.162278e+01	3.311311e+01	1.982637e+02	3.005570e+01	3.005570e+01
3.311311e+01	3.467369e+01	1.045527e+02	1.725519e+01	1.725519e+01
3.467369e+01	3.630781e+01	5.969180e+01	1.230191e+01	1.230191e+01
