# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_2
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_2
Title=Mass of second jet
LogY=1
XLabel=$m(\text{jet 2})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 2})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_2
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	2.089296e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+00	2.290868e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+00	2.511886e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+00	2.754229e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+00	3.019952e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e+00	3.311311e+00	2.991147e+01	2.771363e+01	2.771363e+01
3.311311e+00	3.630781e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+00	3.981072e+00	2.180145e+01	2.180145e+01	2.180145e+01
3.981072e+00	4.365158e+00	4.317520e+00	4.317520e+00	4.317520e+00
4.365158e+00	4.786301e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+00	5.248075e+00	1.730540e+01	1.277515e+01	1.277515e+01
5.248075e+00	5.754399e+00	4.672443e+01	2.497439e+01	2.497439e+01
5.754399e+00	6.309573e+00	6.873805e+01	2.951592e+01	2.951592e+01
6.309573e+00	6.918310e+00	1.071905e+02	3.384175e+01	3.384175e+01
6.918310e+00	7.585776e+00	2.140344e+02	5.053108e+01	5.053108e+01
7.585776e+00	8.317638e+00	2.253242e+02	4.740839e+01	4.740839e+01
8.317638e+00	9.120108e+00	3.295939e+02	5.258027e+01	5.258027e+01
9.120108e+00	1.000000e+01	4.081883e+02	5.575813e+01	5.575813e+01
1.000000e+01	1.096478e+01	8.100465e+02	7.882573e+01	7.882573e+01
1.096478e+01	1.202264e+01	7.748653e+02	7.129296e+01	7.129296e+01
1.202264e+01	1.318257e+01	9.582880e+02	7.674580e+01	7.674580e+01
1.318257e+01	1.445440e+01	1.006019e+03	7.504240e+01	7.504240e+01
1.445440e+01	1.584893e+01	9.630047e+02	6.792522e+01	6.792522e+01
1.584893e+01	1.737801e+01	9.686524e+02	6.357063e+01	6.357063e+01
1.737801e+01	1.905461e+01	8.717380e+02	5.678922e+01	5.678922e+01
1.905461e+01	2.089296e+01	7.437071e+02	5.032578e+01	5.032578e+01
2.089296e+01	2.290868e+01	5.581236e+02	3.922578e+01	3.922578e+01
2.290868e+01	2.511886e+01	4.231169e+02	3.197812e+01	3.197812e+01
2.511886e+01	2.754229e+01	2.879935e+02	2.455797e+01	2.455797e+01
2.754229e+01	3.019952e+01	1.827152e+02	1.831624e+01	1.831624e+01
3.019952e+01	3.311311e+01	1.285478e+02	1.419165e+01	1.419165e+01
3.311311e+01	3.630781e+01	8.256143e+01	1.069817e+01	1.069817e+01
3.630781e+01	3.981072e+01	4.547471e+01	6.390882e+00	6.390882e+00
3.981072e+01	4.365158e+01	2.033489e+01	3.333591e+00	3.333591e+00
4.365158e+01	4.786301e+01	1.000262e+01	1.898860e+00	1.898860e+00
4.786301e+01	5.248075e+01	5.744210e+00	1.397108e+00	1.397108e+00
5.248075e+01	5.754399e+01	9.986333e-01	2.719877e-01	2.719877e-01
5.754399e+01	6.309573e+01	8.295142e-01	2.461822e-01	2.461822e-01
6.309573e+01	6.918310e+01	7.690016e-01	2.387041e-01	2.387041e-01
6.918310e+01	7.585776e+01	1.707239e-01	1.481925e-01	1.481925e-01
7.585776e+01	8.317638e+01	3.661796e-02	2.593274e-02	2.593274e-02
8.317638e+01	9.120108e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

