# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_3
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_3
Title=Mass of third jet
LogY=1
XLabel=$m(\text{jet 3})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 3})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_3
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_3
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	1.959448e+01	1.959448e+01	1.959448e+01
1.149757e+00	1.321941e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.321941e+00	1.519911e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.519911e+00	1.747528e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.747528e+00	2.009233e+00	7.764521e+01	4.647567e+01	4.647567e+01
2.009233e+00	2.310130e+00	1.176711e+02	5.671621e+01	5.671621e+01
2.310130e+00	2.656088e+00	1.640414e+02	6.601462e+01	6.601462e+01
2.656088e+00	3.053856e+00	1.844335e+02	5.868583e+01	5.868583e+01
3.053856e+00	3.511192e+00	2.600377e+02	6.049494e+01	6.049494e+01
3.511192e+00	4.037017e+00	3.994804e+02	6.571369e+01	6.571369e+01
4.037017e+00	4.641589e+00	6.333800e+02	8.284815e+01	8.284815e+01
4.641589e+00	5.336699e+00	8.341336e+02	8.459500e+01	8.459500e+01
5.336699e+00	6.135907e+00	1.008059e+03	8.693572e+01	8.693572e+01
6.135907e+00	7.054802e+00	1.160843e+03	8.937202e+01	8.937202e+01
7.054802e+00	8.111308e+00	1.347548e+03	9.072672e+01	9.072672e+01
8.111308e+00	9.326033e+00	1.111120e+03	7.755571e+01	7.755571e+01
9.326033e+00	1.072267e+01	9.842958e+02	6.642802e+01	6.642802e+01
1.072267e+01	1.232847e+01	6.468645e+02	4.700794e+01	4.700794e+01
1.232847e+01	1.417474e+01	5.445222e+02	4.123667e+01	4.123667e+01
1.417474e+01	1.629751e+01	2.911754e+02	2.714243e+01	2.714243e+01
1.629751e+01	1.873817e+01	1.524360e+02	1.815240e+01	1.815240e+01
1.873817e+01	2.154435e+01	5.937349e+01	9.773307e+00	9.773307e+00
2.154435e+01	2.477076e+01	2.437077e+01	6.251914e+00	6.251914e+00
2.477076e+01	2.848036e+01	1.573536e+01	5.060118e+00	5.060118e+00
2.848036e+01	3.274549e+01	2.038461e+00	7.259025e-01	7.259025e-01
3.274549e+01	3.764936e+01	4.931419e-01	2.079139e-01	2.079139e-01
3.764936e+01	4.328761e+01	1.696609e-01	1.162936e-01	1.162936e-01
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.564633e+01	8.697490e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.697490e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

