# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_4
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_4
Title=Mass of fourth jet
LogY=1
XLabel=$m(\text{jet 4})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 4})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_4
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_mass_4
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.445440e+00	4.497895e+01	4.497895e+01	4.497895e+01
1.445440e+00	1.737801e+00	4.842633e+01	3.764878e+01	3.764878e+01
1.737801e+00	2.089296e+00	1.500063e+01	1.413461e+01	1.413461e+01
2.089296e+00	2.511886e+00	1.632695e+02	4.796492e+01	4.796492e+01
2.511886e+00	3.019952e+00	1.310759e+02	3.896783e+01	3.896783e+01
3.019952e+00	3.630781e+00	2.824579e+02	5.396115e+01	5.396115e+01
3.630781e+00	4.365158e+00	5.187386e+02	6.489807e+01	6.489807e+01
4.365158e+00	5.248075e+00	6.881725e+02	6.966482e+01	6.966482e+01
5.248075e+00	6.309573e+00	8.962455e+02	7.329331e+01	7.329331e+01
6.309573e+00	7.585776e+00	7.573953e+02	6.034401e+01	6.034401e+01
7.585776e+00	9.120108e+00	6.336805e+02	5.033709e+01	5.033709e+01
9.120108e+00	1.096478e+01	3.407355e+02	3.277180e+01	3.277180e+01
1.096478e+01	1.318257e+01	1.375489e+02	1.584372e+01	1.584372e+01
1.318257e+01	1.584893e+01	7.530551e+01	1.194987e+01	1.194987e+01
1.584893e+01	1.905461e+01	1.284707e+01	3.423263e+00	3.423263e+00
1.905461e+01	2.290868e+01	6.331867e+00	3.021876e+00	3.021876e+00
2.290868e+01	2.754229e+01	3.404242e-01	2.432472e-01	2.432472e-01
2.754229e+01	3.311311e+01	4.368951e-01	2.959993e-01	2.959993e-01
3.311311e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

