# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_1
XLabel=$p_\perp(\text{jet 1})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 1})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_1
Title=Transverse momentum of leading jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_1
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.049510e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.049510e+01	1.101471e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.101471e+01	1.156004e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.156004e+01	1.213237e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.213237e+01	1.273304e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.273304e+01	1.336345e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.336345e+01	1.402507e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.402507e+01	1.471945e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.471945e+01	1.544820e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.544820e+01	1.621304e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.621304e+01	1.701574e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.701574e+01	1.785818e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.785818e+01	1.874233e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.874233e+01	1.967026e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.967026e+01	2.064413e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.064413e+01	2.166621e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.166621e+01	2.273890e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.273890e+01	2.386469e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.386469e+01	2.504623e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.504623e+01	2.628626e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.628626e+01	2.758768e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.758768e+01	2.895354e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.895354e+01	3.038702e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.038702e+01	3.189147e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.189147e+01	3.347040e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.347040e+01	3.512751e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.512751e+01	3.686666e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.686666e+01	3.869192e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.869192e+01	4.060754e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.060754e+01	4.261801e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.261801e+01	4.472801e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.472801e+01	4.694248e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.694248e+01	4.926658e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.926658e+01	5.170575e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.170575e+01	5.426569e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.426569e+01	5.695236e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.695236e+01	5.977205e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.977205e+01	6.273135e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.273135e+01	6.583715e+01	1.109464e+00	1.109463e+00	1.109463e+00
6.583715e+01	6.909673e+01	4.750830e+00	3.749491e+00	3.749491e+00
6.909673e+01	7.251768e+01	3.496324e+00	2.515011e+00	2.515011e+00
7.251768e+01	7.610801e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.610801e+01	7.987609e+01	1.712354e+00	1.712354e+00	1.712354e+00
7.987609e+01	8.383073e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.383073e+01	8.798116e+01	6.704652e+00	3.948338e+00	3.948338e+00
8.798116e+01	9.233708e+01	1.666177e+00	1.666177e+00	1.666177e+00
9.233708e+01	9.690865e+01	1.309553e+01	5.086472e+00	5.086472e+00
9.690865e+01	1.017066e+02	5.531312e+00	2.812848e+00	2.812848e+00
1.017066e+02	1.067420e+02	8.383550e+00	3.843743e+00	3.843743e+00
1.067420e+02	1.120268e+02	2.160333e+01	5.894247e+00	5.894247e+00
1.120268e+02	1.175732e+02	3.921097e+01	7.826887e+00	7.826887e+00
1.175732e+02	1.233942e+02	3.643979e+01	7.150130e+00	7.150130e+00
1.233942e+02	1.295034e+02	5.895140e+01	9.122789e+00	9.122789e+00
1.295034e+02	1.359151e+02	7.571628e+01	9.972058e+00	9.972058e+00
1.359151e+02	1.426442e+02	9.482050e+01	1.114701e+01	1.114701e+01
1.426442e+02	1.497064e+02	1.239366e+02	1.229761e+01	1.229761e+01
1.497064e+02	1.571184e+02	1.690189e+02	1.374682e+01	1.374682e+01
1.571184e+02	1.648972e+02	2.051989e+02	1.486945e+01	1.486945e+01
1.648972e+02	1.730612e+02	2.097867e+02	1.382684e+01	1.382684e+01
1.730612e+02	1.816294e+02	1.771894e+02	1.150271e+01	1.150271e+01
1.816294e+02	1.906218e+02	1.443738e+02	9.470923e+00	9.470923e+00
1.906218e+02	2.000595e+02	1.066405e+02	7.065567e+00	7.065567e+00
2.000595e+02	2.099643e+02	7.612835e+01	5.159257e+00	5.159257e+00
2.099643e+02	2.203596e+02	5.882862e+01	4.327988e+00	4.327988e+00
2.203596e+02	2.312695e+02	4.307297e+01	3.152467e+00	3.152467e+00
2.312695e+02	2.427196e+02	3.407591e+01	2.459133e+00	2.459133e+00
2.427196e+02	2.547366e+02	2.351007e+01	2.052241e+00	2.052241e+00
2.547366e+02	2.673485e+02	1.792286e+01	1.363117e+00	1.363117e+00
2.673485e+02	2.805848e+02	1.416975e+01	1.110468e+00	1.110468e+00
2.805848e+02	2.944765e+02	9.976187e+00	1.077158e+00	1.077158e+00
2.944765e+02	3.090559e+02	8.367553e+00	7.748656e-01	7.748656e-01
3.090559e+02	3.243572e+02	5.213129e+00	5.549683e-01	5.549683e-01
3.243572e+02	3.404160e+02	3.640423e+00	4.748631e-01	4.748631e-01
3.404160e+02	3.572698e+02	3.602536e+00	6.250069e-01	6.250069e-01
3.572698e+02	3.749581e+02	1.483268e+00	1.439802e-01	1.439802e-01
3.749581e+02	3.935222e+02	9.723574e-01	1.258062e-01	1.258062e-01
3.935222e+02	4.130053e+02	5.147656e-01	1.079554e-01	1.079554e-01
4.130053e+02	4.334531e+02	3.068336e-01	8.528798e-02	8.528798e-02
4.334531e+02	4.549132e+02	4.503366e-02	2.152758e-02	2.152758e-02
4.549132e+02	4.774358e+02	3.054448e-02	1.788274e-02	1.788274e-02
4.774358e+02	5.010735e+02	5.437335e-02	3.916105e-02	3.916105e-02
5.010735e+02	5.258815e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.258815e+02	5.519177e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519177e+02	5.792429e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.792429e+02	6.079210e+02	4.640789e-03	4.640790e-03	4.640790e-03
6.079210e+02	6.380190e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.380190e+02	6.696071e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.696071e+02	7.027591e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.027591e+02	7.375525e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.375525e+02	7.740684e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.740684e+02	8.123923e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.123923e+02	8.526135e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.526135e+02	8.948261e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.948261e+02	9.391287e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.391287e+02	9.856246e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.856246e+02	1.034423e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.034423e+03	1.085636e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.085636e+03	1.139386e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.139386e+03	1.195797e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.195797e+03	1.255000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

