# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_2
XLabel=$p_\perp(\text{jet 2})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 2})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_2
Title=Transverse momentum of second jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_2
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.092574e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.092574e+01	1.193719e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.193719e+01	1.304227e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.304227e+01	1.424965e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.424965e+01	1.556880e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.556880e+01	1.701008e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.701008e+01	1.858478e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.858478e+01	2.030525e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.030525e+01	2.218500e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.218500e+01	2.423877e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.423877e+01	2.648266e+01	2.167485e+00	2.167485e+00	2.167485e+00
2.648266e+01	2.893427e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.893427e+01	3.161285e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.161285e+01	3.453939e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.453939e+01	3.773686e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.773686e+01	4.123033e+01	3.315139e+00	3.315140e+00	3.315140e+00
4.123033e+01	4.504720e+01	1.774034e+00	1.774034e+00	1.774034e+00
4.504720e+01	4.921742e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.921742e+01	5.377370e+01	3.695780e+00	2.629751e+00	2.629751e+00
5.377370e+01	5.875177e+01	1.341213e+01	4.952544e+00	4.952544e+00
5.875177e+01	6.419069e+01	1.471931e+01	4.986382e+00	4.986382e+00
6.419069e+01	7.013311e+01	1.941564e+01	5.162308e+00	5.162308e+00
7.013311e+01	7.662564e+01	3.114208e+01	6.580449e+00	6.580449e+00
7.662564e+01	8.371922e+01	4.277599e+01	7.222416e+00	7.222416e+00
8.371922e+01	9.146948e+01	6.621642e+01	8.166715e+00	8.166715e+00
9.146948e+01	9.993722e+01	7.485872e+01	8.122239e+00	8.122239e+00
9.993722e+01	1.091889e+02	1.063768e+02	9.138040e+00	9.138040e+00
1.091889e+02	1.192970e+02	1.284889e+02	9.719145e+00	9.719145e+00
1.192970e+02	1.303408e+02	1.116162e+02	8.560109e+00	8.560109e+00
1.303408e+02	1.424070e+02	1.490198e+02	9.535777e+00	9.535777e+00
1.424070e+02	1.555903e+02	1.551478e+02	9.344842e+00	9.344842e+00
1.555903e+02	1.699940e+02	1.487998e+02	8.083475e+00	8.083475e+00
1.699940e+02	1.857311e+02	8.487275e+01	4.751772e+00	4.751772e+00
1.857311e+02	2.029251e+02	4.281410e+01	2.555659e+00	2.555659e+00
2.029251e+02	2.217107e+02	3.028826e+01	1.748906e+00	1.748906e+00
2.217107e+02	2.422355e+02	1.667290e+01	1.049944e+00	1.049944e+00
2.422355e+02	2.646603e+02	1.019968e+01	6.101473e-01	6.101473e-01
2.646603e+02	2.891611e+02	5.348095e+00	3.621061e-01	3.621061e-01
2.891611e+02	3.159300e+02	2.613156e+00	1.870828e-01	1.870828e-01
3.159300e+02	3.451771e+02	1.404657e+00	1.456603e-01	1.456603e-01
3.451771e+02	3.771317e+02	5.898384e-01	6.198439e-02	6.198439e-02
3.771317e+02	4.120445e+02	9.282661e-02	1.977672e-02	1.977672e-02
4.120445e+02	4.501893e+02	3.387833e-03	3.387834e-03	3.387834e-03
4.501893e+02	4.918653e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.918653e+02	5.373995e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.373995e+02	5.871489e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.871489e+02	6.415039e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.415039e+02	7.008908e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.008908e+02	7.657754e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.657754e+02	8.366667e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

