# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_3
XLabel=$p_\perp(\text{jet 3})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 3})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_3
Title=Transverse momentum of third jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_3
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_3
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.133635e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.133635e+01	1.285128e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.285128e+01	1.456865e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.456865e+01	1.651553e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.651553e+01	1.872258e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.872258e+01	2.122457e+01	1.044141e+02	1.608108e+01	1.608108e+01
2.122457e+01	2.406091e+01	2.461522e+02	2.400340e+01	2.400340e+01
2.406091e+01	2.727628e+01	2.001253e+02	1.973409e+01	1.973409e+01
2.727628e+01	3.092134e+01	1.591616e+02	1.618169e+01	1.618169e+01
3.092134e+01	3.505350e+01	1.992600e+02	1.810951e+01	1.810951e+01
3.505350e+01	3.973787e+01	1.800755e+02	1.636843e+01	1.636843e+01
3.973787e+01	4.504823e+01	1.667883e+02	1.460466e+01	1.460466e+01
4.504823e+01	5.106824e+01	1.495837e+02	1.262589e+01	1.262589e+01
5.106824e+01	5.789273e+01	1.500974e+02	1.171786e+01	1.171786e+01
5.789273e+01	6.562921e+01	1.224485e+02	9.824341e+00	9.824341e+00
6.562921e+01	7.439955e+01	1.052834e+02	8.450290e+00	8.450290e+00
7.439955e+01	8.434191e+01	8.220967e+01	6.907586e+00	6.907586e+00
8.434191e+01	9.561292e+01	5.182021e+01	4.490195e+00	4.490195e+00
9.561292e+01	1.083901e+02	2.826792e+01	3.095934e+00	3.095934e+00
1.083901e+02	1.228748e+02	1.875320e+01	2.771357e+00	2.771357e+00
1.228748e+02	1.392952e+02	9.337312e+00	1.497987e+00	1.497987e+00
1.392952e+02	1.579098e+02	3.107001e+00	5.027231e-01	5.027231e-01
1.579098e+02	1.790121e+02	1.864025e+00	4.773598e-01	4.773598e-01
1.790121e+02	2.029343e+02	9.347974e-01	2.435176e-01	2.435176e-01
2.029343e+02	2.300534e+02	3.972927e-01	1.627969e-01	1.627969e-01
2.300534e+02	2.607965e+02	2.006409e-01	8.877976e-02	8.877976e-02
2.607965e+02	2.956479e+02	3.689002e-02	1.695721e-02	1.695721e-02
2.956479e+02	3.351568e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.351568e+02	3.799454e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.799454e+02	4.307193e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.307193e+02	4.882783e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.882783e+02	5.535293e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.535293e+02	6.275000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

