# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_4
XLabel=$p_\perp(\text{jet 4})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 4})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_4
Title=Transverse momentum of fourth jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_4
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_pT_4
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.169575e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.169575e+01	1.367906e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.367906e+01	1.599869e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.599869e+01	1.871167e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.871167e+01	2.188471e+01	1.590149e+02	1.847208e+01	1.847208e+01
2.188471e+01	2.559581e+01	2.474361e+02	2.072241e+01	2.072241e+01
2.559581e+01	2.993623e+01	1.802410e+02	1.585663e+01	1.585663e+01
2.993623e+01	3.501267e+01	1.612237e+02	1.442287e+01	1.442287e+01
3.501267e+01	4.094995e+01	1.157496e+02	1.077504e+01	1.077504e+01
4.094995e+01	4.789404e+01	8.254831e+01	8.332461e+00	8.332461e+00
4.789404e+01	5.601568e+01	5.102707e+01	5.566093e+00	5.566093e+00
5.601568e+01	6.551455e+01	3.058867e+01	4.100229e+00	4.100229e+00
6.551455e+01	7.662420e+01	1.900698e+01	2.647633e+00	2.647633e+00
7.662420e+01	8.961776e+01	1.132819e+01	2.107452e+00	2.107452e+00
8.961776e+01	1.048147e+02	3.252846e+00	9.225096e-01	9.225096e-01
1.048147e+02	1.225887e+02	1.289746e+00	5.051259e-01	5.051259e-01
1.225887e+02	1.433767e+02	3.459359e-01	1.445475e-01	1.445475e-01
1.433767e+02	1.676898e+02	1.221361e-01	5.467076e-02	5.467076e-02
1.676898e+02	1.961258e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.961258e+02	2.293839e+02	9.516548e-03	6.898895e-03	6.898895e-03
2.293839e+02	2.682817e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.682817e+02	3.137757e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.137757e+02	3.669842e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.669842e+02	4.292157e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.292157e+02	5.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

