# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\text{jet 1})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 1})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_1
Title=Rapidity of first jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_1
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	5.536645e+01	5.536644e+01	5.536644e+01
-3.000000e+00	-2.800000e+00	5.150000e+01	5.150000e+01	5.150000e+01
-2.800000e+00	-2.600000e+00	3.388329e+02	1.172833e+02	1.172833e+02
-2.600000e+00	-2.400000e+00	3.844965e+02	1.144465e+02	1.144465e+02
-2.400000e+00	-2.200000e+00	7.796525e+02	1.626044e+02	1.626044e+02
-2.200000e+00	-2.000000e+00	1.113302e+03	1.938445e+02	1.938445e+02
-2.000000e+00	-1.800000e+00	1.670083e+03	2.251350e+02	2.251350e+02
-1.800000e+00	-1.600000e+00	2.054172e+03	2.605561e+02	2.605561e+02
-1.600000e+00	-1.400000e+00	2.541830e+03	2.839773e+02	2.839773e+02
-1.400000e+00	-1.200000e+00	3.103860e+03	3.185966e+02	3.185966e+02
-1.200000e+00	-1.000000e+00	3.228238e+03	3.117027e+02	3.117027e+02
-1.000000e+00	-8.000000e-01	3.832005e+03	3.455478e+02	3.455478e+02
-8.000000e-01	-6.000000e-01	4.053178e+03	3.487145e+02	3.487145e+02
-6.000000e-01	-4.000000e-01	4.581481e+03	3.761722e+02	3.761722e+02
-4.000000e-01	-2.000000e-01	4.500686e+03	3.589322e+02	3.589322e+02
-2.000000e-01	0.000000e+00	5.186805e+03	3.985092e+02	3.985092e+02
0.000000e+00	2.000000e-01	4.689740e+03	3.712642e+02	3.712642e+02
2.000000e-01	4.000000e-01	4.566653e+03	3.648916e+02	3.648916e+02
4.000000e-01	6.000000e-01	4.512265e+03	3.629708e+02	3.629708e+02
6.000000e-01	8.000000e-01	3.844569e+03	3.455402e+02	3.455402e+02
8.000000e-01	1.000000e+00	3.789296e+03	3.506124e+02	3.506124e+02
1.000000e+00	1.200000e+00	3.647423e+03	3.430503e+02	3.430503e+02
1.200000e+00	1.400000e+00	2.804215e+03	2.827119e+02	2.827119e+02
1.400000e+00	1.600000e+00	2.606750e+03	2.980457e+02	2.980457e+02
1.600000e+00	1.800000e+00	2.488953e+03	2.823045e+02	2.823045e+02
1.800000e+00	2.000000e+00	1.787911e+03	2.512917e+02	2.512917e+02
2.000000e+00	2.200000e+00	1.164644e+03	1.936044e+02	1.936044e+02
2.200000e+00	2.400000e+00	7.650515e+02	1.639183e+02	1.639183e+02
2.400000e+00	2.600000e+00	3.627517e+02	1.131900e+02	1.131900e+02
2.600000e+00	2.800000e+00	1.104555e+02	6.334102e+01	6.334102e+01
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	5.033505e+01	5.033505e+01	5.033505e+01
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

