# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\text{jet 2})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 2})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_2
Title=Rapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_2
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_2
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	1.986329e+01	1.986329e+01	1.986329e+01
-3.000000e+00	-2.800000e+00	9.060855e+01	6.414799e+01	6.414799e+01
-2.800000e+00	-2.600000e+00	1.753917e+02	8.855809e+01	8.855809e+01
-2.600000e+00	-2.400000e+00	6.977755e+02	1.664927e+02	1.664927e+02
-2.400000e+00	-2.200000e+00	6.625600e+02	1.572920e+02	1.572920e+02
-2.200000e+00	-2.000000e+00	1.145547e+03	1.988137e+02	1.988137e+02
-2.000000e+00	-1.800000e+00	1.724987e+03	2.394209e+02	2.394209e+02
-1.800000e+00	-1.600000e+00	1.683695e+03	2.298318e+02	2.298318e+02
-1.600000e+00	-1.400000e+00	2.902778e+03	2.958426e+02	2.958426e+02
-1.400000e+00	-1.200000e+00	3.270188e+03	3.263134e+02	3.263134e+02
-1.200000e+00	-1.000000e+00	3.535888e+03	3.283385e+02	3.283385e+02
-1.000000e+00	-8.000000e-01	3.669805e+03	3.386541e+02	3.386541e+02
-8.000000e-01	-6.000000e-01	4.226594e+03	3.611525e+02	3.611525e+02
-6.000000e-01	-4.000000e-01	4.551143e+03	3.578642e+02	3.578642e+02
-4.000000e-01	-2.000000e-01	4.691230e+03	3.835089e+02	3.835089e+02
-2.000000e-01	0.000000e+00	5.101095e+03	3.989845e+02	3.989845e+02
0.000000e+00	2.000000e-01	4.545469e+03	3.614077e+02	3.614077e+02
2.000000e-01	4.000000e-01	4.601256e+03	3.816924e+02	3.816924e+02
4.000000e-01	6.000000e-01	4.576533e+03	3.675938e+02	3.675938e+02
6.000000e-01	8.000000e-01	3.502132e+03	3.234350e+02	3.234350e+02
8.000000e-01	1.000000e+00	3.888122e+03	3.414255e+02	3.414255e+02
1.000000e+00	1.200000e+00	3.425053e+03	3.252607e+02	3.252607e+02
1.200000e+00	1.400000e+00	3.211504e+03	3.236695e+02	3.236695e+02
1.400000e+00	1.600000e+00	2.203005e+03	2.627139e+02	2.627139e+02
1.600000e+00	1.800000e+00	1.936634e+03	2.353054e+02	2.353054e+02
1.800000e+00	2.000000e+00	1.539494e+03	2.309248e+02	2.309248e+02
2.000000e+00	2.200000e+00	1.341706e+03	2.073952e+02	2.073952e+02
2.200000e+00	2.400000e+00	1.033451e+03	1.881627e+02	1.881627e+02
2.400000e+00	2.600000e+00	3.655191e+02	1.124746e+02	1.124746e+02
2.600000e+00	2.800000e+00	7.728165e+01	5.876898e+01	5.876898e+01
2.800000e+00	3.000000e+00	1.163699e+02	5.957976e+01	5.957976e+01
3.000000e+00	3.200000e+00	1.538258e+02	8.928588e+01	8.928588e+01
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

