# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\text{jet 3})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 3})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_3
Title=Rapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_3
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_3
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	1.437805e+01	1.162433e+01	1.162433e+01
-3.800000e+00	-3.400000e+00	7.550008e+01	3.403073e+01	3.403073e+01
-3.400000e+00	-3.000000e+00	1.131399e+02	4.263383e+01	4.263383e+01
-3.000000e+00	-2.600000e+00	3.469055e+02	7.556855e+01	7.556855e+01
-2.600000e+00	-2.200000e+00	7.664983e+02	1.113438e+02	1.113438e+02
-2.200000e+00	-1.800000e+00	1.083616e+03	1.294950e+02	1.294950e+02
-1.800000e+00	-1.400000e+00	1.508488e+03	1.487441e+02	1.487441e+02
-1.400000e+00	-1.000000e+00	2.168564e+03	1.798438e+02	1.798438e+02
-1.000000e+00	-6.000000e-01	2.516695e+03	1.947586e+02	1.947586e+02
-6.000000e-01	-2.000000e-01	3.199678e+03	2.136637e+02	2.136637e+02
-2.000000e-01	2.000000e-01	3.254655e+03	2.194281e+02	2.194281e+02
2.000000e-01	6.000000e-01	2.997165e+03	2.047317e+02	2.047317e+02
6.000000e-01	1.000000e+00	2.988977e+03	2.180859e+02	2.180859e+02
1.000000e+00	1.400000e+00	1.899291e+03	1.702320e+02	1.702320e+02
1.400000e+00	1.800000e+00	1.648457e+03	1.576373e+02	1.576373e+02
1.800000e+00	2.200000e+00	1.028924e+03	1.310664e+02	1.310664e+02
2.200000e+00	2.600000e+00	9.196550e+02	1.341859e+02	1.341859e+02
2.600000e+00	3.000000e+00	3.536715e+02	7.383426e+01	7.383426e+01
3.000000e+00	3.400000e+00	1.903001e+02	5.958998e+01	5.958998e+01
3.400000e+00	3.800000e+00	5.939113e+01	2.856416e+01	2.856416e+01
3.800000e+00	4.200000e+00	2.555525e+00	2.555525e+00	2.555525e+00
4.200000e+00	4.600000e+00	4.790528e+00	4.790528e+00	4.790528e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

