# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\text{jet 4})$
YLabel=$\text{d}\sigma/\text{d}y(\text{jet 4})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_4
Title=Rapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_4
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_4
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	1.886672e+01	1.619991e+01	1.619991e+01
-4.200000e+00	-3.800000e+00	8.398612e+00	8.398612e+00	8.398612e+00
-3.800000e+00	-3.400000e+00	4.509795e+01	2.582616e+01	2.582616e+01
-3.400000e+00	-3.000000e+00	7.670903e+01	2.776217e+01	2.776217e+01
-3.000000e+00	-2.600000e+00	2.018849e+02	5.715391e+01	5.715391e+01
-2.600000e+00	-2.200000e+00	3.765048e+02	7.920784e+01	7.920784e+01
-2.200000e+00	-1.800000e+00	6.220657e+02	1.038221e+02	1.038221e+02
-1.800000e+00	-1.400000e+00	7.906080e+02	1.135231e+02	1.135231e+02
-1.400000e+00	-1.000000e+00	9.875445e+02	1.160498e+02	1.160498e+02
-1.000000e+00	-6.000000e-01	1.468841e+03	1.494398e+02	1.494398e+02
-6.000000e-01	-2.000000e-01	1.542570e+03	1.482813e+02	1.482813e+02
-2.000000e-01	2.000000e-01	1.707188e+03	1.585916e+02	1.585916e+02
2.000000e-01	6.000000e-01	1.612201e+03	1.540696e+02	1.540696e+02
6.000000e-01	1.000000e+00	1.027049e+03	1.171664e+02	1.171664e+02
1.000000e+00	1.400000e+00	9.343145e+02	1.124569e+02	1.124569e+02
1.400000e+00	1.800000e+00	7.113697e+02	9.829144e+01	9.829144e+01
1.800000e+00	2.200000e+00	7.028215e+02	1.109406e+02	1.109406e+02
2.200000e+00	2.600000e+00	3.321455e+02	7.305854e+01	7.305854e+01
2.600000e+00	3.000000e+00	2.016996e+02	5.255152e+01	5.255152e+01
3.000000e+00	3.400000e+00	5.039938e+01	2.279255e+01	2.279255e+01
3.400000e+00	3.800000e+00	1.559834e+02	5.981872e+01	5.981872e+01
3.800000e+00	4.200000e+00	7.345812e-01	7.345813e-01	7.345813e-01
4.200000e+00	4.600000e+00	5.418808e-01	5.418807e-01	5.418807e-01
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

