# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_pmratio_1
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_pmratio_1
Title=Rapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|y(\text{jet 1}|$
YLabel=$y(\text{jet 1})_+/y(\text{jet 1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_pmratio_1
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jet_y_pmratio_1
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.041678e-01	9.974649e-02	9.974649e-02
2.000000e-01	4.000000e-01	1.014657e+00	1.145472e-01	1.145472e-01
4.000000e-01	6.000000e-01	9.848922e-01	1.132083e-01	1.132083e-01
6.000000e-01	8.000000e-01	9.485321e-01	1.180149e-01	1.180149e-01
8.000000e-01	1.000000e+00	9.888547e-01	1.277600e-01	1.277600e-01
1.000000e+00	1.200000e+00	1.129849e+00	1.522943e-01	1.522943e-01
1.200000e+00	1.400000e+00	9.034605e-01	1.299856e-01	1.299856e-01
1.400000e+00	1.600000e+00	1.025541e+00	1.639405e-01	1.639405e-01
1.600000e+00	1.800000e+00	1.211658e+00	2.061733e-01	2.061733e-01
1.800000e+00	2.000000e+00	1.070552e+00	2.084878e-01	2.084878e-01
2.000000e+00	2.200000e+00	1.046117e+00	2.518310e-01	2.518310e-01
2.200000e+00	2.400000e+00	9.812725e-01	2.934049e-01	2.934049e-01
2.400000e+00	2.600000e+00	9.434460e-01	4.068440e-01	4.068440e-01
2.600000e+00	2.800000e+00	3.259880e-01	2.183537e-01	2.183537e-01
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	9.091256e-01	1.285698e+00	1.285698e+00
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	nan	nan	nan
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

