# BEGIN PLOT
LegendXPos=0.10
XLabel=$\Delta{R}(\text{jet 1, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta{R}(\text{jet 1, jet 3})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_dR_13
Title=$\Delta R$ separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_dR_13
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_dR_13
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_dR_13
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	2.886393e+02	6.957020e+01	6.957020e+01
6.000000e-01	8.000000e-01	2.947161e+02	8.451201e+01	8.451201e+01
8.000000e-01	1.000000e+00	3.743598e+02	1.045275e+02	1.045275e+02
1.000000e+00	1.200000e+00	2.571839e+02	8.745189e+01	8.745189e+01
1.200000e+00	1.400000e+00	5.335145e+02	1.272720e+02	1.272720e+02
1.400000e+00	1.600000e+00	8.550485e+02	1.583570e+02	1.583570e+02
1.600000e+00	1.800000e+00	1.062382e+03	1.833030e+02	1.833030e+02
1.800000e+00	2.000000e+00	1.520436e+03	2.148844e+02	2.148844e+02
2.000000e+00	2.200000e+00	2.423594e+03	2.562907e+02	2.562907e+02
2.200000e+00	2.400000e+00	3.133518e+03	3.116339e+02	3.116339e+02
2.400000e+00	2.600000e+00	4.839907e+03	3.862628e+02	3.862628e+02
2.600000e+00	2.800000e+00	6.386055e+03	4.289362e+02	4.289362e+02
2.800000e+00	3.000000e+00	8.702200e+03	5.220445e+02	5.220445e+02
3.000000e+00	3.200000e+00	7.772065e+03	4.817655e+02	4.817655e+02
3.200000e+00	3.400000e+00	4.966359e+03	3.958894e+02	3.958894e+02
3.400000e+00	3.600000e+00	3.664750e+03	3.369836e+02	3.369836e+02
3.600000e+00	3.800000e+00	1.866424e+03	2.314459e+02	2.314459e+02
3.800000e+00	4.000000e+00	1.534949e+03	2.150031e+02	2.150031e+02
4.000000e+00	4.200000e+00	1.045063e+03	1.886489e+02	1.886489e+02
4.200000e+00	4.400000e+00	7.166705e+02	1.474378e+02	1.474378e+02
4.400000e+00	4.600000e+00	7.459365e+02	1.536308e+02	1.536308e+02
4.600000e+00	4.800000e+00	3.762735e+02	1.112804e+02	1.112804e+02
4.800000e+00	5.000000e+00	2.618927e+02	9.440633e+01	9.440633e+01
# END HISTO1D

