# BEGIN PLOT
LegendXPos=0.30
XLabel=$\Delta\eta(\text{jet 2, jet 3})$
YLabel=$\text{d}\sigma/\text{d}\Delta\eta(\text{jet 2, jet 3})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_deta_23
Title=Pseudorapidity separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_deta_23
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_deta_23
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_deta_23
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	5.651935e+01	2.661544e+01	2.661544e+01
-4.600000e+00	-4.200000e+00	9.129910e+01	4.105967e+01	4.105967e+01
-4.200000e+00	-3.800000e+00	8.777892e+01	3.609971e+01	3.609971e+01
-3.800000e+00	-3.400000e+00	1.354918e+02	4.662571e+01	4.662571e+01
-3.400000e+00	-3.000000e+00	2.419880e+02	6.666294e+01	6.666294e+01
-3.000000e+00	-2.600000e+00	3.052115e+02	6.362648e+01	6.362648e+01
-2.600000e+00	-2.200000e+00	5.285715e+02	9.195111e+01	9.195111e+01
-2.200000e+00	-1.800000e+00	9.044865e+02	1.261815e+02	1.261815e+02
-1.800000e+00	-1.400000e+00	8.562760e+02	1.162589e+02	1.162589e+02
-1.400000e+00	-1.000000e+00	1.497845e+03	1.471784e+02	1.471784e+02
-1.000000e+00	-6.000000e-01	2.930082e+03	2.182127e+02	2.182127e+02
-6.000000e-01	-2.000000e-01	3.982193e+03	2.438887e+02	2.438887e+02
-2.000000e-01	2.000000e-01	3.580767e+03	2.324574e+02	2.324574e+02
2.000000e-01	6.000000e-01	4.324320e+03	2.517028e+02	2.517028e+02
6.000000e-01	1.000000e+00	3.002945e+03	2.175006e+02	2.175006e+02
1.000000e+00	1.400000e+00	1.640385e+03	1.580387e+02	1.580387e+02
1.400000e+00	1.800000e+00	9.341857e+02	1.122685e+02	1.122685e+02
1.800000e+00	2.200000e+00	6.937192e+02	9.709403e+01	9.709403e+01
2.200000e+00	2.600000e+00	5.015800e+02	8.573575e+01	8.573575e+01
2.600000e+00	3.000000e+00	3.387818e+02	7.349647e+01	7.349647e+01
3.000000e+00	3.400000e+00	1.999447e+02	5.397919e+01	5.397919e+01
3.400000e+00	3.800000e+00	1.357928e+02	4.396401e+01	4.396401e+01
3.800000e+00	4.200000e+00	9.266872e+01	3.373660e+01	3.373660e+01
4.200000e+00	4.600000e+00	4.939655e+01	2.782807e+01	2.782807e+01
4.600000e+00	5.000000e+00	2.222594e+01	1.628437e+01	1.628437e+01
# END HISTO1D

