# BEGIN PLOT
LegendXPos=0.1
XLabel=$\Delta\phi(\text{jet 1, jet 2})$
YLabel=$\text{d}\sigma/\text{d}\Delta\phi(\text{jet 1, jet 2})$ [pb]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_dphi_12
Title=Azimuthal separation between jets
Legend=1
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_dphi_12
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_dphi_12
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_dphi_12
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	7.253115e+01	5.473856e+01	5.473856e+01
1.256637e-01	2.513274e-01	9.186193e+01	9.186188e+01	9.186188e+01
2.513274e-01	3.769911e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.769911e-01	5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e-01	6.283185e-01	7.277059e+01	7.277059e+01	7.277059e+01
6.283185e-01	7.539822e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.539822e-01	8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.796459e-01	1.005310e+00	5.541493e+01	5.372967e+01	5.372967e+01
1.005310e+00	1.130973e+00	9.620756e+00	9.620760e+00	9.620760e+00
1.130973e+00	1.256637e+00	1.000612e+02	9.442518e+01	9.442518e+01
1.256637e+00	1.382301e+00	7.359656e+00	7.359656e+00	7.359656e+00
1.382301e+00	1.507964e+00	7.167817e+01	5.455294e+01	5.455294e+01
1.507964e+00	1.633628e+00	7.497890e+00	6.266900e+00	6.266900e+00
1.633628e+00	1.759292e+00	4.171141e+01	4.171140e+01	4.171140e+01
1.759292e+00	1.884956e+00	8.656226e+01	5.960015e+01	5.960015e+01
1.884956e+00	2.010619e+00	1.266949e+02	6.454757e+01	6.454757e+01
2.010619e+00	2.136283e+00	2.218599e+02	8.947725e+01	8.947725e+01
2.136283e+00	2.261947e+00	8.699954e+02	2.425733e+02	2.425733e+02
2.261947e+00	2.387610e+00	1.253187e+03	2.540840e+02	2.540840e+02
2.387610e+00	2.513274e+00	2.373619e+03	3.471720e+02	3.471720e+02
2.513274e+00	2.638938e+00	5.305917e+03	5.269344e+02	5.269344e+02
2.638938e+00	2.764602e+00	9.073147e+03	6.847494e+02	6.847494e+02
2.764602e+00	2.890265e+00	1.452933e+04	8.555126e+02	8.555126e+02
2.890265e+00	3.015929e+00	2.587121e+04	1.116982e+03	1.116982e+03
3.015929e+00	3.141593e+00	5.859325e+04	1.692395e+03	1.692395e+03
# END HISTO1D

