# BEGIN PLOT
LegendOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_mjj
XLabel=$m_{jj}$ [GeV]
LegendAlign=r
YLabel=$\text{d}\sigma/\text{d}m_{jj}$ [pb/GeV]
DrawOnly=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_mjj
Title=Dijet invariant mass spectrum
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_mjj
LineColor=red
LineStyle=solid
Path=//home/maxin/jewel_old/vac-test-withvac/Rivet.yoda/MC_JETS/jets_mjj
ScaledBy=1.24300950964295044e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.275000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.275000e+01	1.255000e+02	7.909756e-01	3.548400e-01	3.548400e-01
1.255000e+02	1.882500e+02	2.311283e+00	5.405382e-01	5.405382e-01
1.882500e+02	2.510000e+02	1.594513e+01	1.437049e+00	1.437049e+00
2.510000e+02	3.137500e+02	4.373968e+01	2.323277e+00	2.323277e+00
3.137500e+02	3.765000e+02	5.388700e+01	2.445488e+00	2.445488e+00
3.765000e+02	4.392500e+02	3.842314e+01	1.903739e+00	1.903739e+00
4.392500e+02	5.020000e+02	2.562035e+01	1.398566e+00	1.398566e+00
5.020000e+02	5.647500e+02	1.693420e+01	1.141850e+00	1.141850e+00
5.647500e+02	6.275000e+02	1.244498e+01	9.050206e-01	9.050206e-01
6.275000e+02	6.902500e+02	8.530840e+00	8.003791e-01	8.003791e-01
6.902500e+02	7.530000e+02	5.585445e+00	6.361676e-01	6.361676e-01
7.530000e+02	8.157500e+02	4.107665e+00	5.751385e-01	5.751385e-01
8.157500e+02	8.785000e+02	2.403514e+00	4.000263e-01	4.000263e-01
8.785000e+02	9.412500e+02	1.370449e+00	2.448764e-01	2.448764e-01
9.412500e+02	1.004000e+03	1.678287e+00	3.515232e-01	3.515232e-01
1.004000e+03	1.066750e+03	1.374430e+00	3.453732e-01	3.453732e-01
1.066750e+03	1.129500e+03	7.889829e-01	2.508427e-01	2.508427e-01
1.129500e+03	1.192250e+03	5.492853e-01	1.893754e-01	1.893754e-01
1.192250e+03	1.255000e+03	1.007220e-01	3.701265e-02	3.701265e-02
1.255000e+03	1.317750e+03	3.776832e-01	1.684693e-01	1.684693e-01
1.317750e+03	1.380500e+03	1.966907e-01	1.043315e-01	1.043315e-01
1.380500e+03	1.443250e+03	5.973589e-02	3.097810e-02	3.097810e-02
1.443250e+03	1.506000e+03	1.106160e-01	5.667749e-02	5.667749e-02
1.506000e+03	1.568750e+03	3.427159e-02	2.278976e-02	2.278976e-02
1.568750e+03	1.631500e+03	1.354785e-01	7.478335e-02	7.478335e-02
1.631500e+03	1.694250e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.694250e+03	1.757000e+03	8.117361e-02	7.846388e-02	7.846388e-02
1.757000e+03	1.819750e+03	2.236701e-01	1.371482e-01	1.371482e-01
1.819750e+03	1.882500e+03	1.295346e-01	1.275705e-01	1.275705e-01
1.882500e+03	1.945250e+03	3.009906e-03	3.009905e-03	3.009905e-03
1.945250e+03	2.008000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.008000e+03	2.070750e+03	3.034038e-02	2.555046e-02	2.555046e-02
2.070750e+03	2.133500e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.133500e+03	2.196250e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.196250e+03	2.259000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.259000e+03	2.321750e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.321750e+03	2.384500e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.384500e+03	2.447250e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.447250e+03	2.510000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

