# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta ($H_\text{T}$)
XLabel=$H_\text{T}$ [GeV]
YLabel=$\text{d}\sigma/\text{d}H_\text{T}$ [pb/GeV]
LogX=1
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_HT
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_HT
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_HT
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.176742e+01	7.738528e+05	3.196369e+05	3.196369e+05
2.176742e+01	2.369103e+01	1.657147e+06	5.346078e+05	5.346078e+05
2.369103e+01	2.578463e+01	1.443001e+06	6.332794e+05	6.332794e+05
2.578463e+01	2.806325e+01	5.673302e+05	2.266187e+05	2.266187e+05
2.806325e+01	3.054323e+01	3.618125e+05	1.326093e+05	1.326093e+05
3.054323e+01	3.324236e+01	1.029944e+05	4.128019e+04	4.128019e+04
3.324236e+01	3.618003e+01	1.025433e+05	4.534718e+04	4.534718e+04
3.618003e+01	3.937729e+01	4.176292e+04	2.237523e+04	2.237523e+04
3.937729e+01	4.285711e+01	1.354878e+05	9.652280e+04	9.652280e+04
4.285711e+01	4.664443e+01	1.356266e+04	7.685223e+03	7.685223e+03
4.664443e+01	5.076645e+01	1.162635e+04	5.393920e+03	5.393920e+03
5.076645e+01	5.525273e+01	3.834725e+04	1.681020e+04	1.681020e+04
5.525273e+01	6.013548e+01	7.442347e+04	3.456949e+04	3.456949e+04
6.013548e+01	6.544971e+01	7.909024e+03	3.586920e+03	3.586920e+03
6.544971e+01	7.123357e+01	6.993613e+04	5.728698e+04	5.728698e+04
7.123357e+01	7.752856e+01	5.831695e+03	2.136807e+03	2.136807e+03
7.752856e+01	8.437984e+01	1.232761e+04	3.690418e+03	3.690418e+03
8.437984e+01	9.183657e+01	6.016655e+03	2.821575e+03	2.821575e+03
9.183657e+01	9.995227e+01	9.240656e+03	4.479455e+03	4.479455e+03
9.995227e+01	1.087852e+02	8.395289e+03	5.062294e+03	5.062294e+03
1.087852e+02	1.183986e+02	2.679617e+03	1.026821e+03	1.026821e+03
1.183986e+02	1.288616e+02	1.066419e+03	3.340776e+02	3.340776e+02
1.288616e+02	1.402493e+02	1.121693e+03	3.513900e+02	3.513900e+02
1.402493e+02	1.526432e+02	5.676908e+02	1.454204e+02	1.454204e+02
1.526432e+02	1.661325e+02	7.835907e+02	1.805573e+02	1.805573e+02
1.661325e+02	1.808138e+02	2.372750e+02	6.103086e+01	6.103086e+01
1.808138e+02	1.967925e+02	1.047892e+02	3.367843e+01	3.367843e+01
1.967925e+02	2.141832e+02	1.344912e+02	3.183655e+01	3.183655e+01
2.141832e+02	2.331108e+02	1.979922e+02	8.031529e+01	8.031529e+01
2.331108e+02	2.537111e+02	3.987089e+01	1.362939e+01	1.362939e+01
2.537111e+02	2.761318e+02	2.207799e+01	8.701294e+00	8.701294e+00
2.761318e+02	3.005339e+02	6.155077e+01	3.877690e+01	3.877690e+01
3.005339e+02	3.270924e+02	2.391418e+01	1.454605e+01	1.454605e+01
3.270924e+02	3.559979e+02	5.406746e+00	1.665109e+00	1.665109e+00
3.559979e+02	3.874578e+02	6.927355e+00	4.519419e+00	4.519419e+00
3.874578e+02	4.216978e+02	3.814308e+00	1.478911e+00	1.478911e+00
4.216978e+02	4.589637e+02	9.199346e-01	3.305758e-01	3.305758e-01
4.589637e+02	4.995228e+02	1.010113e+00	3.897008e-01	3.897008e-01
4.995228e+02	5.436661e+02	1.352767e+00	9.924594e-01	9.924594e-01
5.436661e+02	5.917105e+02	5.928443e-02	4.194023e-02	4.194023e-02
5.917105e+02	6.440006e+02	1.015896e-01	5.168755e-02	5.168755e-02
6.440006e+02	7.009116e+02	2.711165e-02	2.711164e-02	2.711164e-02
7.009116e+02	7.628519e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.628519e+02	8.302659e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.302659e+02	9.036374e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.036374e+02	9.834927e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.834927e+02	1.070405e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.070405e+03	1.164998e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.164998e+03	1.267950e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.267950e+03	1.380000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

