# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading jet
XLabel=$\eta(\text{jet 1})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_1
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_1
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	9.173000e+05	9.173001e+05	9.173001e+05
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	1.875235e+06	1.875235e+06	1.875235e+06
-3.600000e+00	-3.400000e+00	3.637539e+06	2.361685e+06	2.361685e+06
-3.400000e+00	-3.200000e+00	2.294195e+06	1.414973e+06	1.414973e+06
-3.200000e+00	-3.000000e+00	8.176055e+05	5.908217e+05	5.908217e+05
-3.000000e+00	-2.800000e+00	2.636376e+05	2.170415e+05	2.170415e+05
-2.800000e+00	-2.600000e+00	8.114825e+05	4.133847e+05	4.133847e+05
-2.600000e+00	-2.400000e+00	1.366699e+06	1.003291e+06	1.003291e+06
-2.400000e+00	-2.200000e+00	4.333126e+06	2.285419e+06	2.285419e+06
-2.200000e+00	-2.000000e+00	2.867043e+06	2.201219e+06	2.201219e+06
-2.000000e+00	-1.800000e+00	3.799365e+06	2.834106e+06	2.834106e+06
-1.800000e+00	-1.600000e+00	7.280880e+05	4.998746e+05	4.998746e+05
-1.600000e+00	-1.400000e+00	2.053670e+05	1.188237e+05	1.188237e+05
-1.400000e+00	-1.200000e+00	6.032755e+05	3.308831e+05	3.308831e+05
-1.200000e+00	-1.000000e+00	3.044834e+06	1.377323e+06	1.377323e+06
-1.000000e+00	-8.000000e-01	4.409916e+05	1.370986e+05	1.370986e+05
-8.000000e-01	-6.000000e-01	4.919416e+05	1.687754e+05	1.687754e+05
-6.000000e-01	-4.000000e-01	8.432695e+05	5.310607e+05	5.310607e+05
-4.000000e-01	-2.000000e-01	1.239154e+06	5.696769e+05	5.696769e+05
-2.000000e-01	0.000000e+00	5.608295e+05	2.776963e+05	2.776963e+05
0.000000e+00	2.000000e-01	6.727700e+05	2.781227e+05	2.781227e+05
2.000000e-01	4.000000e-01	3.335148e+06	2.497956e+06	2.497956e+06
4.000000e-01	6.000000e-01	2.227919e+06	1.068210e+06	1.068210e+06
6.000000e-01	8.000000e-01	3.961394e+06	2.426414e+06	2.426414e+06
8.000000e-01	1.000000e+00	5.462820e+05	3.119500e+05	3.119500e+05
1.000000e+00	1.200000e+00	2.307800e+06	1.808143e+06	1.808143e+06
1.200000e+00	1.400000e+00	2.639859e+06	1.536668e+06	1.536668e+06
1.400000e+00	1.600000e+00	7.478485e+05	4.165250e+05	4.165250e+05
1.600000e+00	1.800000e+00	3.546197e+05	1.891693e+05	1.891693e+05
1.800000e+00	2.000000e+00	4.930903e+05	3.252053e+05	3.252053e+05
2.000000e+00	2.200000e+00	2.750277e+06	1.911596e+06	1.911596e+06
2.200000e+00	2.400000e+00	3.640581e+05	2.245157e+05	2.245157e+05
2.400000e+00	2.600000e+00	1.150882e+06	9.043929e+05	9.043929e+05
2.600000e+00	2.800000e+00	5.246135e+05	3.611600e+05	3.611600e+05
2.800000e+00	3.000000e+00	2.551226e+05	1.521274e+05	1.521274e+05
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	3.236221e+06	2.630824e+06	2.630824e+06
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	5.440245e+06	5.440246e+06	5.440246e+06
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

