# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\text{jet 2})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_2
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_2
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	9.987625e+04	7.870723e+04	7.870723e+04
-2.800000e+00	-2.600000e+00	2.003630e+05	2.003629e+05	2.003629e+05
-2.600000e+00	-2.400000e+00	1.125106e+04	9.986374e+03	9.986374e+03
-2.400000e+00	-2.200000e+00	1.016381e+05	9.721992e+04	9.721992e+04
-2.200000e+00	-2.000000e+00	1.824323e+06	1.655197e+06	1.655197e+06
-2.000000e+00	-1.800000e+00	3.918719e+03	2.671743e+03	2.671743e+03
-1.800000e+00	-1.600000e+00	6.288155e+04	3.375974e+04	3.375974e+04
-1.600000e+00	-1.400000e+00	9.803940e+04	6.830190e+04	6.830190e+04
-1.400000e+00	-1.200000e+00	7.491380e+04	3.260028e+04	3.260028e+04
-1.200000e+00	-1.000000e+00	1.067008e+05	3.763986e+04	3.763986e+04
-1.000000e+00	-8.000000e-01	1.604829e+05	1.003043e+05	1.003043e+05
-8.000000e-01	-6.000000e-01	1.058147e+05	8.405268e+04	8.405268e+04
-6.000000e-01	-4.000000e-01	1.403584e+05	6.630443e+04	6.630443e+04
-4.000000e-01	-2.000000e-01	5.275605e+05	2.310424e+05	2.310424e+05
-2.000000e-01	0.000000e+00	2.547513e+05	1.734795e+05	1.734795e+05
0.000000e+00	2.000000e-01	1.523200e+05	6.480141e+04	6.480141e+04
2.000000e-01	4.000000e-01	2.982076e+05	2.040274e+05	2.040274e+05
4.000000e-01	6.000000e-01	9.006200e+05	7.679396e+05	7.679396e+05
6.000000e-01	8.000000e-01	3.030450e+05	1.775028e+05	1.775028e+05
8.000000e-01	1.000000e+00	2.134449e+05	1.129383e+05	1.129383e+05
1.000000e+00	1.200000e+00	7.455330e+04	2.558001e+04	2.558001e+04
1.200000e+00	1.400000e+00	1.701129e+06	1.603654e+06	1.603654e+06
1.400000e+00	1.600000e+00	1.003059e+05	5.037450e+04	5.037450e+04
1.600000e+00	1.800000e+00	8.431430e+04	4.422317e+04	4.422317e+04
1.800000e+00	2.000000e+00	2.351819e+04	1.100227e+04	1.100227e+04
2.000000e+00	2.200000e+00	1.814066e+05	1.653912e+05	1.653912e+05
2.200000e+00	2.400000e+00	1.825951e+04	1.825951e+04	1.825951e+04
2.400000e+00	2.600000e+00	1.110026e+05	7.036956e+04	7.036956e+04
2.600000e+00	2.800000e+00	1.448896e+04	1.448895e+04	1.448895e+04
2.800000e+00	3.000000e+00	1.517140e+04	1.517140e+04	1.517140e+04
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

