# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of fourth jet
XLabel=$\eta(\text{jet 4})$
YLabel=$\text{d}\sigma/\text{d}\eta(\text{jet 4})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_4
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_4
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_4
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_4
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.600000e+00	-2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.200000e+00	-1.800000e+00	4.358792e+00	4.358794e+00	4.358794e+00
-1.800000e+00	-1.400000e+00	1.874462e+01	1.874462e+01	1.874462e+01
-1.400000e+00	-1.000000e+00	3.431295e+02	3.431296e+02	3.431296e+02
-1.000000e+00	-6.000000e-01	1.932679e+02	1.128696e+02	1.128696e+02
-6.000000e-01	-2.000000e-01	3.950030e+03	2.584019e+03	2.584019e+03
-2.000000e-01	2.000000e-01	1.315732e+03	9.133965e+02	9.133965e+02
2.000000e-01	6.000000e-01	1.438084e+03	1.018017e+03	1.018017e+03
6.000000e-01	1.000000e+00	4.579422e+02	3.980108e+02	3.980108e+02
1.000000e+00	1.400000e+00	3.185138e+02	3.185138e+02	3.185138e+02
1.400000e+00	1.800000e+00	3.632217e+03	3.292079e+03	3.292079e+03
1.800000e+00	2.200000e+00	1.844471e+02	1.844471e+02	1.844471e+02
2.200000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	3.000000e+00	1.398764e+01	1.398764e+01	1.398764e+01
3.000000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

