# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of first jet
XLabel=$|\eta(\text{jet 1}|$
YLabel=$\eta(\text{jet 1})_+/\eta(\text{jet 1})_-$
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_pmratio_1
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.199598e+00	7.737880e-01	7.737880e-01
2.000000e-01	4.000000e-01	2.691470e+00	2.365313e+00	2.365313e+00
4.000000e-01	6.000000e-01	2.642002e+00	2.091173e+00	2.091173e+00
6.000000e-01	8.000000e-01	8.052570e+00	5.653333e+00	5.653333e+00
8.000000e-01	1.000000e+00	1.238758e+00	8.054213e-01	8.054213e-01
1.000000e+00	1.200000e+00	7.579397e-01	6.857065e-01	6.857065e-01
1.200000e+00	1.400000e+00	4.375878e+00	3.499802e+00	3.499802e+00
1.400000e+00	1.600000e+00	3.641522e+00	2.924525e+00	2.924525e+00
1.600000e+00	1.800000e+00	4.870561e-01	4.234652e-01	4.234652e-01
1.800000e+00	2.000000e+00	1.297823e-01	1.292232e-01	1.292232e-01
2.000000e+00	2.200000e+00	9.592730e-01	9.934694e-01	9.934694e-01
2.200000e+00	2.400000e+00	8.401743e-02	6.817871e-02	6.817871e-02
2.400000e+00	2.600000e+00	8.420889e-01	9.055579e-01	9.055579e-01
2.600000e+00	2.800000e+00	6.464876e-01	5.536609e-01	5.536609e-01
2.800000e+00	3.000000e+00	9.677021e-01	9.836897e-01	9.836897e-01
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	1.410613e+00	1.439415e+00	1.439415e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	2.901100e+00	4.102776e+00	4.102776e+00
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

