# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of second jet
XLabel=$|\eta(\text{jet 2}|$
YLabel=$\eta(\text{jet 2})_+/\eta(\text{jet 2})_-$
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_eta_pmratio_2
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.979166e-01	4.800933e-01	4.800933e-01
2.000000e-01	4.000000e-01	5.652576e-01	4.591815e-01	4.591815e-01
4.000000e-01	6.000000e-01	6.416576e+00	6.254819e+00	6.254819e+00
6.000000e-01	8.000000e-01	2.863920e+00	2.826522e+00	2.826522e+00
8.000000e-01	1.000000e+00	1.330017e+00	1.089165e+00	1.089165e+00
1.000000e+00	1.200000e+00	6.987137e-01	3.438388e-01	3.438388e-01
1.200000e+00	1.400000e+00	2.270782e+01	2.357742e+01	2.357742e+01
1.400000e+00	1.600000e+00	1.023119e+00	8.786759e-01	8.786759e-01
1.600000e+00	1.800000e+00	1.340843e+00	1.006385e+00	1.006385e+00
1.800000e+00	2.000000e+00	6.001498e+00	4.962381e+00	4.962381e+00
2.000000e+00	2.200000e+00	9.943777e-02	1.279006e-01	1.279006e-01
2.200000e+00	2.400000e+00	1.796523e-01	2.486059e-01	2.486059e-01
2.400000e+00	2.600000e+00	9.865966e+00	1.076119e+01	1.076119e+01
2.600000e+00	2.800000e+00	7.231354e-02	1.022668e-01	1.022668e-01
2.800000e+00	3.000000e+00	1.519020e-01	1.934005e-01	1.934005e-01
3.000000e+00	3.200000e+00	nan	nan	nan
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	nan	nan	nan
3.600000e+00	3.800000e+00	nan	nan	nan
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	nan	nan	nan
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

