# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of first jet
XLabel=$m(\text{jet 1})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 1})$ [pb/GeV]
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_1
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_1
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.148154e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.148154e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.258925e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.380384e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+00	1.445440e+00	1.905299e+05	1.905298e+05	1.905298e+05
1.445440e+00	1.513561e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.513561e+00	1.584893e+00	1.464709e+06	1.037182e+06	1.037182e+06
1.584893e+00	1.659587e+00	1.307938e+06	1.307938e+06	1.307938e+06
1.659587e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.819701e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.819701e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	1.995262e+00	1.403715e+05	1.403715e+05	1.403715e+05
1.995262e+00	2.089296e+00	1.811228e+04	1.811228e+04	1.811228e+04
2.089296e+00	2.187762e+00	3.551041e+06	3.551041e+06	3.551041e+06
2.187762e+00	2.290868e+00	1.125517e+06	6.614688e+05	6.614688e+05
2.290868e+00	2.398833e+00	1.779312e+06	1.339535e+06	1.339535e+06
2.398833e+00	2.511886e+00	2.067581e+06	1.462573e+06	1.462573e+06
2.511886e+00	2.630268e+00	2.545536e+05	1.582497e+05	1.582497e+05
2.630268e+00	2.754229e+00	1.046790e+05	7.416106e+04	7.416106e+04
2.754229e+00	2.884032e+00	3.742532e+06	2.745849e+06	2.745849e+06
2.884032e+00	3.019952e+00	7.376957e+05	6.070400e+05	6.070400e+05
3.019952e+00	3.162278e+00	4.461920e+06	2.370221e+06	2.370221e+06
3.162278e+00	3.311311e+00	1.897019e+06	1.316674e+06	1.316674e+06
3.311311e+00	3.467369e+00	1.068060e+07	7.368568e+06	7.368568e+06
3.467369e+00	3.630781e+00	1.485007e+06	1.226284e+06	1.226284e+06
3.630781e+00	3.801894e+00	5.211885e+06	3.615187e+06	3.615187e+06
3.801894e+00	3.981072e+00	6.175234e+05	3.188218e+05	3.188218e+05
3.981072e+00	4.168694e+00	5.822969e+05	4.094436e+05	4.094436e+05
4.168694e+00	4.365158e+00	5.573769e+06	3.467012e+06	3.467012e+06
4.365158e+00	4.570882e+00	4.947405e+05	2.361913e+05	2.361913e+05
4.570882e+00	4.786301e+00	1.901614e+06	1.141027e+06	1.141027e+06
4.786301e+00	5.011872e+00	1.018830e+06	6.941623e+05	6.941623e+05
5.011872e+00	5.248075e+00	2.932139e+06	2.105750e+06	2.105750e+06
5.248075e+00	5.495409e+00	2.630399e+05	8.482970e+04	8.482970e+04
5.495409e+00	5.754399e+00	2.626204e+06	1.721895e+06	1.721895e+06
5.754399e+00	6.025596e+00	1.619853e+06	9.156110e+05	9.156110e+05
6.025596e+00	6.309573e+00	1.356286e+06	7.238990e+05	7.238990e+05
6.309573e+00	6.606934e+00	4.187385e+05	1.908411e+05	1.908411e+05
6.606934e+00	6.918310e+00	2.582446e+06	1.336720e+06	1.336720e+06
6.918310e+00	7.244360e+00	2.106954e+05	7.643757e+04	7.643757e+04
7.244360e+00	7.585776e+00	1.124057e+05	4.279205e+04	4.279205e+04
7.585776e+00	7.943282e+00	1.034037e+06	4.607889e+05	4.607889e+05
7.943282e+00	8.317638e+00	2.814655e+05	1.683715e+05	1.683715e+05
8.317638e+00	8.709636e+00	2.004460e+06	1.289172e+06	1.289172e+06
8.709636e+00	9.120108e+00	6.295477e+04	3.309331e+04	3.309331e+04
9.120108e+00	9.549926e+00	8.554667e+04	3.668364e+04	3.668364e+04
9.549926e+00	1.000000e+01	1.659930e+05	1.480823e+05	1.480823e+05
1.000000e+01	1.047129e+01	3.667663e+04	1.634053e+04	1.634053e+04
1.047129e+01	1.096478e+01	6.182567e+04	2.267667e+04	2.267667e+04
1.096478e+01	1.148154e+01	4.691677e+04	3.174254e+04	3.174254e+04
1.148154e+01	1.202264e+01	6.377128e+03	4.238547e+03	4.238547e+03
1.202264e+01	1.258925e+01	7.808279e+04	7.027406e+04	7.027406e+04
1.258925e+01	1.318257e+01	4.832052e+03	2.633188e+03	2.633188e+03
1.318257e+01	1.380384e+01	1.120766e+05	9.939158e+04	9.939158e+04
1.380384e+01	1.445440e+01	1.066116e+04	6.906062e+03	6.906062e+03
1.445440e+01	1.513561e+01	8.340864e+02	5.686461e+02	5.686461e+02
1.513561e+01	1.584893e+01	2.328465e+03	1.125007e+03	1.125007e+03
1.584893e+01	1.659587e+01	3.863969e+03	2.775225e+03	2.775225e+03
1.659587e+01	1.737801e+01	3.271930e+02	1.953284e+02	1.953284e+02
1.737801e+01	1.819701e+01	3.427051e+02	1.353612e+02	1.353612e+02
1.819701e+01	1.905461e+01	1.858291e+02	1.612637e+02	1.612637e+02
1.905461e+01	1.995262e+01	3.851593e+02	1.919798e+02	1.919798e+02
1.995262e+01	2.089296e+01	3.542117e+02	1.738293e+02	1.738293e+02
2.089296e+01	2.187762e+01	2.190931e+03	1.995981e+03	1.995981e+03
2.187762e+01	2.290868e+01	5.918818e+01	3.672371e+01	3.672371e+01
2.290868e+01	2.398833e+01	1.948496e+02	1.301000e+02	1.301000e+02
2.398833e+01	2.511886e+01	1.395224e+02	1.111490e+02	1.111490e+02
2.511886e+01	2.630268e+01	2.705990e+00	2.705989e+00	2.705989e+00
2.630268e+01	2.754229e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+01	2.884032e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.884032e+01	3.019952e+01	8.396932e+00	5.950032e+00	5.950032e+00
3.019952e+01	3.162278e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.162278e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.467369e+01	2.918580e+00	2.918580e+00	2.918580e+00
3.467369e+01	3.630781e+01	0.000000e+00	0.000000e+00	0.000000e+00
