# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\text{jet 2})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 2})$ [pb/GeV]
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_2
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_2
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_2
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_2
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.318257e+00	3.722119e+04	3.499511e+04	3.499511e+04
1.318257e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	2.089296e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+00	2.290868e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+00	2.511886e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+00	2.754229e+00	1.340514e+06	1.323098e+06	1.323098e+06
2.754229e+00	3.019952e+00	2.555652e+05	1.704306e+05	1.704306e+05
3.019952e+00	3.311311e+00	1.324286e+06	1.139229e+06	1.139229e+06
3.311311e+00	3.630781e+00	1.232956e+05	6.176922e+04	6.176922e+04
3.630781e+00	3.981072e+00	4.964284e+04	2.466432e+04	2.466432e+04
3.981072e+00	4.365158e+00	9.629364e+04	3.449049e+04	3.449049e+04
4.365158e+00	4.786301e+00	4.911021e+04	3.077001e+04	3.077001e+04
4.786301e+00	5.248075e+00	1.565291e+05	8.368504e+04	8.368504e+04
5.248075e+00	5.754399e+00	3.997377e+05	3.033599e+05	3.033599e+05
5.754399e+00	6.309573e+00	1.381844e+05	7.421355e+04	7.421355e+04
6.309573e+00	6.918310e+00	1.276209e+05	6.204602e+04	6.204602e+04
6.918310e+00	7.585776e+00	1.237250e+05	5.675535e+04	5.675535e+04
7.585776e+00	8.317638e+00	7.829561e+04	3.372896e+04	3.372896e+04
8.317638e+00	9.120108e+00	8.393287e+04	4.960009e+04	4.960009e+04
9.120108e+00	1.000000e+01	2.021937e+04	9.224139e+03	9.224139e+03
1.000000e+01	1.096478e+01	1.325071e+04	4.043559e+03	4.043559e+03
1.096478e+01	1.202264e+01	5.459627e+03	2.400403e+03	2.400403e+03
1.202264e+01	1.318257e+01	5.071485e+03	1.817871e+03	1.817871e+03
1.318257e+01	1.445440e+01	1.327184e+03	3.677720e+02	3.677720e+02
1.445440e+01	1.584893e+01	9.377066e+02	3.184291e+02	3.184291e+02
1.584893e+01	1.737801e+01	5.294703e+02	1.845126e+02	1.845126e+02
1.737801e+01	1.905461e+01	1.815103e+02	9.134889e+01	9.134889e+01
1.905461e+01	2.089296e+01	1.111959e+02	4.657097e+01	4.657097e+01
2.089296e+01	2.290868e+01	4.891414e+01	2.606668e+01	2.606668e+01
2.290868e+01	2.511886e+01	1.057290e+01	4.945166e+00	4.945166e+00
2.511886e+01	2.754229e+01	7.160438e+00	4.939265e+00	4.939265e+00
2.754229e+01	3.019952e+01	9.852606e-01	6.977181e-01	6.977181e-01
3.019952e+01	3.311311e+01	1.475692e+00	1.475692e+00	1.475692e+00
3.311311e+01	3.630781e+01	3.403152e-01	3.403153e-01	3.403153e-01
3.630781e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.365158e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.248075e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.309573e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	7.585776e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	9.120108e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

