# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of third jet
XLabel=$m(\text{jet 3})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}m(\text{jet 3})$ [pb/GeV]
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_3
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_3
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_3
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_mass_3
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.149757e+00	1.321941e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.321941e+00	1.519911e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.519911e+00	1.747528e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.747528e+00	2.009233e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.009233e+00	2.310130e+00	6.795013e+02	5.168846e+02	5.168846e+02
2.310130e+00	2.656088e+00	6.690355e+02	6.146976e+02	6.146976e+02
2.656088e+00	3.053856e+00	4.700084e+04	4.698301e+04	4.698301e+04
3.053856e+00	3.511192e+00	6.602185e+03	4.039576e+03	4.039576e+03
3.511192e+00	4.037017e+00	1.973476e+04	1.651922e+04	1.651922e+04
4.037017e+00	4.641589e+00	7.263466e+03	4.047560e+03	4.047560e+03
4.641589e+00	5.336699e+00	3.501207e+04	2.087954e+04	2.087954e+04
5.336699e+00	6.135907e+00	4.896629e+03	2.161138e+03	2.161138e+03
6.135907e+00	7.054802e+00	5.867325e+03	2.680026e+03	2.680026e+03
7.054802e+00	8.111308e+00	2.745340e+02	1.233674e+02	1.233674e+02
8.111308e+00	9.326033e+00	2.852572e+03	1.376119e+03	1.376119e+03
9.326033e+00	1.072267e+01	4.319072e+02	2.848770e+02	2.848770e+02
1.072267e+01	1.232847e+01	1.575825e+02	1.211796e+02	1.211796e+02
1.232847e+01	1.417474e+01	3.033067e+02	2.850071e+02	2.850071e+02
1.417474e+01	1.629751e+01	2.326191e+01	1.836600e+01	1.836600e+01
1.629751e+01	1.873817e+01	2.275157e+01	1.819074e+01	1.819074e+01
1.873817e+01	2.154435e+01	5.498404e-01	5.498403e-01	5.498403e-01
2.154435e+01	2.477076e+01	2.332777e+01	2.332777e+01	2.332777e+01
2.477076e+01	2.848036e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.848036e+01	3.274549e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.274549e+01	3.764936e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.764936e+01	4.328761e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.564633e+01	8.697490e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.697490e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

