# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading jet
XLabel=$p_\perp(\text{jet 1})$ [GeV]
YLabel=$\text{d}\sigma/\text{d}p_\perp(\text{jet 1})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_1
LegendOnly=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_1
# END PLOT

# BEGIN HISTO1D //home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_1
LineColor=red
LineStyle=solid
Path=//home/maxinfilip/jewel/jewel-2.2.0/Rivet.yoda/MC_JETS/jet_pT_1
ScaledBy=5.27556886200003125e+12
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.043250e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.043250e+01	1.088371e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.088371e+01	1.135443e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.135443e+01	1.184552e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.184552e+01	1.235784e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.235784e+01	1.289232e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.289232e+01	1.344991e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.344991e+01	1.403162e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.403162e+01	1.463849e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.463849e+01	1.527161e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.527161e+01	1.593211e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.593211e+01	1.662118e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.662118e+01	1.734005e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.734005e+01	1.809001e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.809001e+01	1.887241e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.887241e+01	1.968865e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.968865e+01	2.054018e+01	7.480540e+05	4.709087e+05	4.709087e+05
